"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-2",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output nbt_cidd_2.csv",,,,"Date:","26 Sep 2019 07:24:50 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 07:24:50,0.167,0.071,95.016,4.743,0.0,0.003,749838336.0,10162176.0,706211840.0,2677112832.0,12280.419,20268.393,0.0,0.0,0.107,0.418,java / 3458:2272
26-09 07:24:51,0.995,0.0,98.507,0.498,0.0,0.0,750096384.0,10162176.0,706064384.0,2677002240.0,1048576.0,0.0,173.0,1568.0,4.0,0.0,java / 1048576:0
26-09 07:24:52,0.500,0.0,99.500,0.0,0.0,0.0,749760512.0,10162176.0,706121728.0,2677280768.0,1048576.0,0.0,317.0,1432.0,4.0,0.0,java / 1048576:0
26-09 07:24:53,0.500,0.500,99.0,0.0,0.0,0.0,750022656.0,10162176.0,706109440.0,2677030912.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:24:54,0.0,1.0,99.0,0.0,0.0,0.0,749903872.0,10162176.0,706158592.0,2677100544.0,1048576.0,12288.0,173.0,852.0,4.0,3.0,java / 1048576:0
26-09 07:24:55,0.995,0.0,98.507,0.498,0.0,0.0,749903872.0,10162176.0,706158592.0,2677100544.0,1048576.0,0.0,281.0,1028.0,4.0,0.0,java / 1048576:0
26-09 07:24:56,0.503,0.503,97.990,1.005,0.0,0.0,749694976.0,10174464.0,706101248.0,2677354496.0,1048576.0,61440.0,282.0,1374.0,4.0,2.0,java / 1048576:0
26-09 07:24:57,0.500,0.500,99.0,0.0,0.0,0.0,750010368.0,10174464.0,706265088.0,2676875264.0,1179648.0,0.0,173.0,860.0,5.0,0.0,java / 1179648:0
26-09 07:24:58,1.0,0.0,99.0,0.0,0.0,0.0,750022656.0,10174464.0,706195456.0,2676932608.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:24:59,0.500,0.500,99.0,0.0,0.0,0.0,750022656.0,10174464.0,706195456.0,2676932608.0,1048576.0,32768.0,282.0,1398.0,4.0,4.0,java / 1048576:8192
26-09 07:25:00,0.500,0.0,99.0,0.500,0.0,0.0,750022656.0,10174464.0,706195456.0,2676932608.0,1048576.0,0.0,173.0,868.0,4.0,0.0,java / 1048576:0
26-09 07:25:01,0.503,0.0,96.985,2.513,0.0,0.0,750047232.0,10182656.0,706187264.0,2676908032.0,1048576.0,24576.0,173.0,852.0,4.0,2.0,java / 1048576:0
26-09 07:25:02,1.0,0.0,99.0,0.0,0.0,0.0,750006272.0,10182656.0,706195456.0,2676940800.0,1048576.0,0.0,282.0,1406.0,4.0,0.0,java / 1048576:8192
26-09 07:25:03,0.500,0.0,99.0,0.500,0.0,0.0,750006272.0,10182656.0,706195456.0,2676940800.0,1048576.0,0.0,239.0,954.0,4.0,0.0,java / 1048576:0
26-09 07:25:04,0.0,0.500,99.500,0.0,0.0,0.0,750006272.0,10182656.0,706195456.0,2676940800.0,1048576.0,0.0,239.0,946.0,4.0,0.0,java / 1048576:0
26-09 07:25:05,0.500,0.500,99.0,0.0,0.0,0.0,750006272.0,10182656.0,706195456.0,2676940800.0,1048576.0,0.0,348.0,1492.0,4.0,0.0,java / 1048576:0
26-09 07:25:06,0.498,0.0,99.005,0.498,0.0,0.0,750006272.0,10182656.0,706195456.0,2676940800.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:07,0.0,1.0,98.0,1.0,0.0,0.0,749998080.0,10190848.0,706195456.0,2676940800.0,1048576.0,16384.0,173.0,852.0,5.0,2.0,java / 1048576:0
26-09 07:25:08,0.500,0.500,99.0,0.0,0.0,0.0,749817856.0,10190848.0,706351104.0,2676965376.0,1048576.0,0.0,282.0,1406.0,4.0,0.0,java / 1048576:0
26-09 07:25:09,0.0,0.0,100.0,0.0,0.0,0.0,749932544.0,10190848.0,706293760.0,2676908032.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:10,0.500,0.500,99.0,0.0,0.0,0.0,749805568.0,10190848.0,706289664.0,2677039104.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:11,0.0,0.0,100.0,0.0,0.0,0.0,750112768.0,10190848.0,705982464.0,2677039104.0,786432.0,0.0,282.0,1398.0,3.0,0.0,java / 786432:0
26-09 07:25:12,0.503,0.0,99.497,0.0,0.0,0.0,750067712.0,10190848.0,706027520.0,2677039104.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:13,0.995,0.0,97.512,1.493,0.0,0.0,750133248.0,10199040.0,706080768.0,2676912128.0,1069056.0,12288.0,173.0,852.0,5.0,2.0,java / 1069056:0
26-09 07:25:14,0.0,0.503,98.492,1.005,0.0,0.0,750227456.0,10199040.0,706105344.0,2676793344.0,1048576.0,0.0,282.0,1406.0,4.0,0.0,java / 1048576:0
26-09 07:25:15,0.498,0.498,99.005,0.0,0.0,0.0,750198784.0,10199040.0,706109440.0,2676817920.0,1048576.0,0.0,239.0,946.0,4.0,0.0,java / 1048576:0
26-09 07:25:16,1.0,0.0,99.0,0.0,0.0,0.0,750198784.0,10199040.0,706109440.0,2676817920.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:17,0.500,0.500,99.0,0.0,0.0,0.0,750198784.0,10199040.0,706109440.0,2676817920.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:25:18,0.500,0.500,98.500,0.500,0.0,0.0,750166016.0,10199040.0,706109440.0,2676850688.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:19,0.498,0.0,98.507,0.995,0.0,0.0,750157824.0,10207232.0,706109440.0,2676850688.0,1048576.0,12288.0,173.0,852.0,4.0,2.0,java / 1048576:0
26-09 07:25:20,0.500,0.500,99.0,0.0,0.0,0.0,750157824.0,10207232.0,706109440.0,2676850688.0,1048576.0,0.0,324.0,1448.0,4.0,0.0,java / 1048576:0
26-09 07:25:21,0.0,0.500,99.500,0.0,0.0,0.0,750157824.0,10207232.0,706109440.0,2676850688.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:22,0.0,0.0,99.495,0.505,0.0,0.0,750157824.0,10207232.0,706109440.0,2676850688.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:23,0.500,0.500,99.0,0.0,0.0,0.0,750157824.0,10207232.0,706109440.0,2676850688.0,1048576.0,0.0,348.0,1492.0,4.0,0.0,java / 1048576:0
26-09 07:25:24,0.0,0.503,99.497,0.0,0.0,0.0,749555712.0,10207232.0,707018752.0,2676543488.0,1048576.0,8192.0,173.0,852.0,4.0,1.0,java / 1048576:0
26-09 07:25:25,0.500,0.0,98.500,1.0,0.0,0.0,749490176.0,10215424.0,707076096.0,2676543488.0,1048576.0,24576.0,173.0,860.0,4.0,3.0,java / 1048576:0
26-09 07:25:26,0.0,0.503,98.995,0.503,0.0,0.0,749584384.0,10215424.0,707076096.0,2676449280.0,1048576.0,0.0,282.0,1406.0,4.0,0.0,java / 1048576:0
26-09 07:25:27,0.503,0.0,99.497,0.0,0.0,0.0,749584384.0,10215424.0,707076096.0,2676449280.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:28,0.990,0.495,98.020,0.495,0.0,0.0,749584384.0,10215424.0,707076096.0,2676449280.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:29,0.0,0.0,100.0,0.0,0.0,0.0,749387776.0,10215424.0,707018752.0,2676703232.0,1048576.0,90112.0,282.0,1398.0,4.0,16.0,java / 1048576:8192
26-09 07:25:30,0.500,0.500,99.0,0.0,0.0,0.0,749514752.0,10215424.0,707018752.0,2676576256.0,1048576.0,0.0,173.0,868.0,4.0,0.0,java / 1048576:0
26-09 07:25:31,0.0,0.503,98.492,1.005,0.0,0.0,749428736.0,10223616.0,706715648.0,2676957184.0,671744.0,20480.0,173.0,852.0,3.0,2.0,java / 671744:0
26-09 07:25:32,0.0,0.0,99.497,0.503,0.0,0.0,749338624.0,10223616.0,707186688.0,2676576256.0,1474560.0,0.0,282.0,1472.0,11.0,0.0,java / 1474560:8192
26-09 07:25:33,1.0,0.0,99.0,0.0,0.0,0.0,749424640.0,10223616.0,707067904.0,2676609024.0,1048576.0,0.0,569.0,2102.0,4.0,0.0,java / 1048576:0
26-09 07:25:34,0.0,0.0,99.497,0.503,0.0,0.0,749486080.0,10223616.0,707133440.0,2676482048.0,1114112.0,0.0,173.0,852.0,5.0,0.0,java / 1114112:0
26-09 07:25:35,0.500,0.500,99.0,0.0,0.0,0.0,749486080.0,10223616.0,707133440.0,2676482048.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:25:36,0.0,0.500,99.0,0.500,0.0,0.0,749486080.0,10223616.0,707133440.0,2676482048.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:37,0.500,0.500,98.500,0.500,0.0,0.0,749477888.0,10231808.0,707133440.0,2676482048.0,1048576.0,20480.0,173.0,852.0,4.0,2.0,java / 1048576:0
26-09 07:25:38,0.0,0.0,99.495,0.505,0.0,0.0,749473792.0,10231808.0,707264512.0,2676355072.0,1179648.0,0.0,282.0,1406.0,5.0,0.0,java / 1179648:0
26-09 07:25:39,0.990,1.485,96.535,0.990,0.0,0.0,749711360.0,10240000.0,708288512.0,2675085312.0,1048576.0,24576.0,980321.0,4477.0,4.0,3.0,java / 1048576:983040
26-09 07:25:40,1.015,0.0,98.985,0.0,0.0,0.0,749830144.0,10240000.0,711966720.0,2671288320.0,786432.0,0.0,3976290.0,9841.0,3.0,0.0,java / 786432:3964928
26-09 07:25:41,0.505,0.505,97.980,0.505,0.0,0.505,750075904.0,10240000.0,715886592.0,2667122688.0,1048576.0,0.0,3979690.0,11367.0,4.0,0.0,java / 1048576:4030464
26-09 07:25:42,0.503,1.005,98.492,0.0,0.0,0.0,749793280.0,10240000.0,720031744.0,2663260160.0,1048576.0,0.0,4041403.0,9718.0,4.0,0.0,java / 1048576:4030464
