"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-6",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output nb_cidd_6.csv",,,,"Date:","26 Sep 2019 06:39:45 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 06:39:45,0.140,0.074,96.222,3.561,0.0,0.003,1022021632.0,3411968.0,88518656.0,3029372928.0,9786.096,19994.039,0.0,0.0,0.101,0.423,java / 2395:1486
26-09 06:39:46,0.0,1.005,98.492,0.503,0.0,0.0,1022689280.0,3411968.0,88702976.0,3028520960.0,1048576.0,0.0,581.0,2191.0,4.0,0.0,java / 1048576:0
26-09 06:39:47,0.500,0.0,99.0,0.500,0.0,0.0,1022767104.0,3411968.0,88645632.0,3028500480.0,1048576.0,0.0,239.0,945.0,4.0,0.0,java / 1048576:0
26-09 06:39:48,0.500,0.500,97.500,1.500,0.0,0.0,1022754816.0,3411968.0,88645632.0,3028512768.0,1048576.0,0.0,348.0,1491.0,4.0,0.0,java / 1048576:0
26-09 06:39:49,1.0,0.0,99.0,0.0,0.0,0.0,1022767104.0,3411968.0,88633344.0,3028512768.0,1048576.0,0.0,239.0,945.0,4.0,0.0,java / 1048576:0
26-09 06:39:50,0.0,0.498,99.005,0.498,0.0,0.0,1022767104.0,3411968.0,88645632.0,3028500480.0,1048576.0,0.0,281.0,987.0,4.0,0.0,java / 1048576:0
26-09 06:39:51,1.0,0.500,98.0,0.500,0.0,0.0,1022726144.0,3420160.0,88645632.0,3028533248.0,1048576.0,135168.0,348.0,1491.0,4.0,2.0,java / 1048576:0
26-09 06:39:52,0.500,0.0,99.0,0.500,0.0,0.0,1022750720.0,3420160.0,88645632.0,3028508672.0,1048576.0,0.0,239.0,961.0,4.0,0.0,java / 1048576:0
26-09 06:39:53,0.498,0.498,98.507,0.498,0.0,0.0,1022726144.0,3420160.0,88645632.0,3028533248.0,1048576.0,0.0,317.0,1431.0,4.0,0.0,java / 1048576:0
26-09 06:39:54,0.0,0.0,100.0,0.0,0.0,0.0,1022750720.0,3420160.0,88645632.0,3028508672.0,1048576.0,0.0,348.0,1491.0,4.0,0.0,java / 1048576:0
26-09 06:39:55,0.995,0.498,98.507,0.0,0.0,0.0,1022726144.0,3420160.0,88645632.0,3028533248.0,1048576.0,0.0,239.0,945.0,4.0,0.0,java / 1048576:0
26-09 06:39:56,0.0,0.0,98.492,1.508,0.0,0.0,1022709760.0,3428352.0,88645632.0,3028541440.0,1048576.0,12288.0,239.0,945.0,4.0,2.0,java / 1048576:0
26-09 06:39:57,0.0,0.503,98.995,0.503,0.0,0.0,1022664704.0,3428352.0,88645632.0,3028586496.0,1064960.0,0.0,348.0,1507.0,9.0,0.0,java / 1064960:0
26-09 06:39:58,0.503,0.0,99.497,0.0,0.0,0.0,1022795776.0,3428352.0,88662016.0,3028439040.0,1081344.0,0.0,239.0,945.0,5.0,0.0,java / 1081344:0
26-09 06:39:59,0.500,0.0,99.500,0.0,0.0,0.0,1022763008.0,3428352.0,88694784.0,3028439040.0,1114112.0,0.0,317.0,1431.0,5.0,0.0,java / 1114112:0
26-09 06:40:00,0.0,0.0,98.995,1.005,0.0,0.0,1022955520.0,3428352.0,88760320.0,3028180992.0,1048576.0,0.0,348.0,1491.0,4.0,0.0,java / 1048576:0
26-09 06:40:01,0.500,0.500,98.500,0.500,0.0,0.0,1022746624.0,3436544.0,88772608.0,3028369408.0,1048576.0,16384.0,239.0,945.0,4.0,2.0,java / 1048576:0
