"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-2",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output nb_cidd_2.csv",,,,"Date:","26 Sep 2019 06:39:31 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 06:39:31,0.166,0.070,95.015,4.746,0.0,0.003,760815616.0,3522560.0,89747456.0,3289239552.0,11343.460,19685.643,0.0,0.0,0.102,0.417,java / 2529:1687
26-09 06:39:32,0.505,0.0,99.495,0.0,0.0,0.0,760750080.0,3522560.0,89546752.0,3289505792.0,786432.0,32768.0,348.0,2179.0,3.0,7.0,java / 786432:4096
26-09 06:39:33,0.498,0.498,98.507,0.498,0.0,0.0,760889344.0,3522560.0,89534464.0,3289378816.0,1048576.0,0.0,173.0,867.0,4.0,0.0,java / 1048576:0
26-09 06:39:34,0.503,0.0,99.497,0.0,0.0,0.0,760762368.0,3522560.0,89534464.0,3289505792.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 06:39:35,0.503,0.0,99.497,0.0,0.0,0.0,760762368.0,3522560.0,89534464.0,3289505792.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 06:39:36,0.995,0.498,98.010,0.498,0.0,0.0,760762368.0,3522560.0,89534464.0,3289505792.0,1048576.0,0.0,215.0,893.0,4.0,0.0,java / 1048576:0
26-09 06:39:37,0.505,0.0,98.990,0.505,0.0,0.0,760877056.0,3530752.0,89665536.0,3289251840.0,1179648.0,163840.0,173.0,851.0,5.0,2.0,java / 1179648:0
26-09 06:39:38,0.0,0.498,98.507,0.995,0.0,0.0,760844288.0,3530752.0,89665536.0,3289284608.0,1048576.0,0.0,282.0,1405.0,4.0,0.0,java / 1048576:0
26-09 06:39:39,0.0,0.503,99.497,0.0,0.0,0.0,760844288.0,3530752.0,89665536.0,3289284608.0,1048576.0,0.0,239.0,945.0,4.0,0.0,java / 1048576:0
26-09 06:39:40,0.503,0.0,99.497,0.0,0.0,0.0,760844288.0,3530752.0,89665536.0,3289284608.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 06:39:41,0.503,0.0,99.497,0.0,0.0,0.0,760844288.0,3530752.0,89665536.0,3289284608.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 06:39:42,0.0,0.503,99.497,0.0,0.0,0.0,760844288.0,3530752.0,89665536.0,3289284608.0,1048576.0,32768.0,173.0,851.0,4.0,3.0,java / 1048576:8192
26-09 06:39:43,0.0,0.503,98.492,1.005,0.0,0.0,760836096.0,3538944.0,89665536.0,3289284608.0,1048576.0,20480.0,239.0,969.0,4.0,2.0,java / 1048576:0
26-09 06:39:44,0.498,0.498,99.005,0.0,0.0,0.0,760836096.0,3538944.0,89665536.0,3289284608.0,1048576.0,0.0,282.0,1405.0,4.0,0.0,java / 1048576:8192
26-09 06:39:45,0.503,0.0,99.497,0.0,0.0,0.0,760651776.0,3538944.0,89722880.0,3289411584.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 06:39:46,0.0,0.500,99.0,0.500,0.0,0.0,760651776.0,3538944.0,89722880.0,3289411584.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 06:39:47,0.500,0.500,99.0,0.0,0.0,0.0,760619008.0,3538944.0,89722880.0,3289444352.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 06:39:48,0.500,0.500,98.500,0.500,0.0,0.0,760610816.0,3547136.0,89722880.0,3289444352.0,1048576.0,20480.0,173.0,851.0,4.0,2.0,java / 1048576:0
26-09 06:39:49,0.498,0.498,99.005,0.0,0.0,0.0,760668160.0,3547136.0,89665536.0,3289444352.0,1048576.0,0.0,173.0,859.0,4.0,0.0,java / 1048576:0
26-09 06:39:50,0.0,0.0,99.497,0.503,0.0,0.0,760795136.0,3547136.0,89665536.0,3289317376.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 06:39:51,0.995,0.498,98.507,0.0,0.0,0.0,760795136.0,3547136.0,89665536.0,3289317376.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 06:39:52,0.0,0.0,100.0,0.0,0.0,0.0,760795136.0,3547136.0,89665536.0,3289317376.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 06:39:53,0.498,0.498,98.507,0.498,0.0,0.0,760791040.0,3547136.0,89796608.0,3289190400.0,1179648.0,0.0,282.0,1397.0,5.0,0.0,java / 1179648:0
26-09 06:39:54,0.0,0.503,98.492,1.005,0.0,0.0,760782848.0,3555328.0,89796608.0,3289190400.0,1048576.0,16384.0,173.0,851.0,4.0,2.0,java / 1048576:0
26-09 06:39:55,0.503,0.0,99.497,0.0,0.0,0.0,760782848.0,3555328.0,89796608.0,3289190400.0,1048576.0,0.0,173.0,859.0,4.0,0.0,java / 1048576:0
