"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-10",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output nb_cidd_10.csv",,,,"Date:","26 Sep 2019 06:40:12 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 06:40:12,0.174,0.079,96.192,3.551,0.0,0.003,941588480.0,3731456.0,89391104.0,3108614144.0,11239.525,20703.384,0.0,0.0,0.111,0.422,java / 2472:1629
26-09 06:40:13,0.498,0.995,98.010,0.498,0.0,0.0,942092288.0,3731456.0,89604096.0,3107897344.0,1048576.0,0.0,503.0,2042.0,4.0,0.0,java / 1048576:0
26-09 06:40:14,0.990,0.495,98.020,0.495,0.0,0.0,942223360.0,3731456.0,89600000.0,3107770368.0,1048576.0,0.0,348.0,1493.0,4.0,0.0,java / 1048576:0
26-09 06:40:15,0.500,0.500,99.0,0.0,0.0,0.0,942084096.0,3731456.0,89747456.0,3107762176.0,1179648.0,0.0,239.0,946.0,5.0,0.0,java / 1179648:0
26-09 06:40:16,0.503,0.0,99.497,0.0,0.0,0.0,942366720.0,3731456.0,89870336.0,3107356672.0,1048576.0,16384.0,317.0,1432.0,5.0,4.0,java / 1048576:0
26-09 06:40:17,0.498,0.498,98.507,0.498,0.0,0.0,942297088.0,3731456.0,89780224.0,3107516416.0,1048576.0,0.0,390.0,1551.0,4.0,0.0,java / 1048576:0
26-09 06:40:18,0.995,0.498,98.010,0.498,0.0,0.0,942256128.0,3739648.0,89780224.0,3107549184.0,1048576.0,143360.0,239.0,946.0,4.0,2.0,java / 1048576:0
26-09 06:40:19,0.0,0.500,99.500,0.0,0.0,0.0,942227456.0,3739648.0,89780224.0,3107577856.0,1048576.0,0.0,239.0,962.0,4.0,0.0,java / 1048576:0
26-09 06:40:20,0.995,0.498,98.010,0.498,0.0,0.0,942383104.0,3739648.0,89780224.0,3107422208.0,1048576.0,0.0,348.0,1493.0,4.0,0.0,java / 1048576:0
