,0.640660633,,,,,,1795225943,,,,6442.352941,33652.8371,,98723.6861
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 22:45,0.255,0.231,99.412,0.098,0,0.003,1738575872,91774976,3332657152,3226914816,0,0,1555.166,35406.629
2019/10/16 22:45,0.501,0.251,99.248,0,0,0,1738698752,91774976,3332661248,3226787840,3277,2023,0,0
2019/10/16 22:45,0.503,0,98.995,0.503,0,0,1738698752,91774976,3332661248,3226787840,5201,4166,0,385024
2019/10/16 22:45,0.504,0.252,99.244,0,0,0,1738567680,91774976,3332665344,3226914816,6719,3302,0,49152
2019/10/16 22:45,1.005,0.251,98.744,0,0,0,1738584064,91774976,3332665344,3226898432,3976,2009,0,0
2019/10/16 22:45,0.75,0.25,99,0,0,0,1738588160,91774976,3332669440,3226890240,6460,7749,0,0
2019/10/16 22:45,0.501,0.251,99.248,0,0,0,1738579968,91774976,3332669440,3226898432,3320,1742,0,0
2019/10/16 22:45,0.251,0.251,99.497,0,0,0,1738579968,91774976,3332669440,3226898432,4774,4425,0,0
2019/10/16 22:45,0.501,0.251,98.747,0.501,0,0,1738579968,91774976,3332669440,3226898432,3396,3307,0,49152
2019/10/16 22:45,0.748,0.499,98.504,0,0,0.249,1738579968,91774976,3332669440,3226898432,3130,1761,0,24576
2019/10/16 22:45,0.251,0,99.749,0,0,0,1738547200,91774976,3332669440,3226931200,5088,3122,0,16384
2019/10/16 22:45,0.501,0.501,98.997,0,0,0,1738559488,91774976,3332673536,3226914816,3928,1850,0,0
2019/10/16 22:45,0.503,0.251,99.246,0,0,0,1738559488,91774976,3332673536,3226914816,3744,2171,0,0
2019/10/16 22:45,0.25,0.5,99.25,0,0,0,1738555392,91774976,3332677632,3226914816,4254,2232,0,0
2019/10/16 22:45,0.754,0,98.995,0.251,0,0,1738555392,91774976,3332677632,3226914816,3147,1765,0,65536
