,0.65938009,,,,,,1789800522,,,,6556.733032,33854.79638,,106544.7216
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 22:25,0.254,0.231,99.413,0.098,0,0.003,1736269824,91774976,3329048576,3232829440,0,0,1557.386,35343.468
2019/10/16 22:25,0.251,0.251,99.499,0,0,0,1736392704,91774976,3329052672,3232702464,3788,2753,0,0
2019/10/16 22:25,1,0.25,98.75,0,0,0,1732210688,91774976,3329052672,3236884480,6734,4466,0,24576
2019/10/16 22:25,0.503,0.251,99.246,0,0,0,1732333568,91774976,3329056768,3236757504,5917,3093,0,24576
2019/10/16 22:25,0.5,0.5,99,0,0,0,1732349952,91774976,3329056768,3236741120,3986,3228,0,0
2019/10/16 22:25,0.501,0.251,98.997,0.251,0,0,1732345856,91774976,3329060864,3236741120,6263,6489,0,90112
2019/10/16 22:25,0.251,0.251,99.499,0,0,0,1732345856,91774976,3329060864,3236741120,3129,1758,0,0
2019/10/16 22:25,0.251,0,99.749,0,0,0,1732329472,91774976,3329060864,3236757504,3953,5774,0,0
2019/10/16 22:25,0.5,0.25,99.25,0,0,0,1732329472,91774976,3329060864,3236757504,4218,1961,0,0
2019/10/16 22:25,0.251,0.251,99.497,0,0,0,1732329472,91774976,3329060864,3236757504,3327,1943,0,0
2019/10/16 22:25,0.501,0.251,99.248,0,0,0,1732272128,91774976,3329060864,3236814848,4219,2790,0,16384
2019/10/16 22:25,0.25,0.5,98.75,0.5,0,0,1732272128,91774976,3329060864,3236814848,5589,2327,0,32768
2019/10/16 22:25,0.5,0.25,99.25,0,0,0,1732268032,91774976,3329064960,3236814848,3670,2037,0,0
2019/10/16 22:25,0.251,0,99.749,0,0,0,1732268032,91774976,3329064960,3236814848,2604,1936,0,0
2019/10/16 22:25,0.251,0.251,99.499,0,0,0,1732124672,91774976,3329064960,3236958208,4218,1961,0,0
