,0.621031674,,,,,,1794593027,,,,6533.524887,33833.41629,,108138.8976
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 23:55,0.256,0.231,99.411,0.098,0,0.003,1740832768,91779072,3336097792,3221213184,0,0,1547.548,35400.378
2019/10/16 23:55,0.501,0.251,99.248,0,0,0,1740845056,91779072,3336101888,3221196800,4414,3127,0,0
2019/10/16 23:55,0.251,0.251,99.497,0,0,0,1737289728,91779072,3336101888,3224752128,4306,3340,0,0
2019/10/16 23:55,1.256,0.251,98.241,0.251,0,0,1737289728,91779072,3336101888,3224752128,8880,5199,0,425984
2019/10/16 23:55,0.503,0.251,99.246,0,0,0,1737424896,91779072,3336110080,3224608768,3816,2347,0,0
2019/10/16 23:55,0.251,0.251,99.497,0,0,0,1737424896,91779072,3336110080,3224608768,4762,3047,0,0
2019/10/16 23:55,0.501,0.251,99.248,0,0,0,1737424896,91779072,3336110080,3224608768,3319,1742,0,0
2019/10/16 23:55,0.501,0.251,99.248,0,0,0,1737416704,91779072,3336110080,3224616960,4497,4399,0,24576
2019/10/16 23:55,0.251,0.503,98.744,0.503,0,0,1737416704,91779072,3336110080,3224616960,3674,3352,0,65536
2019/10/16 23:55,0.251,0.251,99.248,0,0,0.251,1737564160,91779072,3336114176,3224465408,3129,1761,0,0
2019/10/16 23:55,0.752,0.251,98.747,0.251,0,0,1737547776,91779072,3336114176,3224481792,4998,3096,0,16384
2019/10/16 23:55,0.501,0.251,99.248,0,0,0,1737531392,91779072,3336114176,3224498176,5026,2219,0,0
2019/10/16 23:55,0.251,0.251,99.499,0,0,0,1737654272,91779072,3336118272,3224371200,3688,2021,0,0
2019/10/16 23:55,0.252,0.252,99.496,0,0,0,1737654272,91779072,3336118272,3224371200,3130,2043,0,0
2019/10/16 23:56,0.503,0.251,98.995,0.251,0,0,1737637888,91779072,3336118272,3224387584,3692,1853,0,49152
