,0.702284553,,,,,,,64248.36856,1774386767,,,,5413.620596,19340.65041
system,total cpu usage,,,,,,dsk/total,,memory usage,,,,net/total,
date/time,usr,sys,idl,wai,hiq,siq,read,writ,used,buff,cach,free,recv,send
2019/10/10 23:53,41.709,4.02,54.271,0,0,0,0,8192,1685270528,91246592,2946240512,3667165184,2066,1298
2019/10/10 23:53,29.323,2.256,68.17,0,0,0.251,0,172032,1724641280,91246592,2946240512,3627794432,16335,647721
2019/10/10 23:53,2.267,0.252,97.481,0,0,0,0,0,1725861888,91246592,2946256896,3626557440,4460,5116
2019/10/10 23:53,0.501,0.251,99.248,0,0,0,0,0,1726017536,91246592,2946260992,3626397696,4997,9289
2019/10/10 23:53,0.251,0.251,98.747,0.752,0,0,0,720896,1724747776,91246592,2946260992,3627667456,1665,926
2019/10/10 23:53,0.252,0.252,99.496,0,0,0,0,32768,1724604416,91246592,2946260992,3627810816,6076,4217
2019/10/10 23:53,0.754,0.251,98.995,0,0,0,0,40960,1724604416,91246592,2946260992,3627810816,6729,3434
2019/10/10 23:53,1.005,0.251,98.744,0,0,0,0,0,1724620800,91246592,2946260992,3627794432,2893,1751
2019/10/10 23:53,1.005,0,98.995,0,0,0,0,0,1724727296,91246592,2946281472,3627667456,11377,16448
2019/10/10 23:53,0.5,0.5,99,0,0,0,0,0,1722064896,91246592,2946285568,3630325760,3667,1742
2019/10/10 23:53,0.503,0,99.246,0.251,0,0,0,778240,1722064896,91246592,2946285568,3630325760,3986,4227
2019/10/10 23:53,0.251,0.251,99.497,0,0,0,0,0,1722064896,91246592,2946285568,3630325760,4785,9119
2019/10/10 23:53,0.251,0.251,99.497,0,0,0,0,16384,1721921536,91246592,2946285568,3630469120,5301,3021
2019/10/10 23:53,0.75,0.5,98.75,0,0,0,0,0,1721896960,91246592,2946285568,3630493696,3151,1790
2019/10/10 23:53,0.501,0.501,98.997,0,0,0,0,0,1721892864,91246592,2946289664,3630493696,7557,7231
2019/10/10 23:53,0.501,0.251,98.997,0.251,0,0,0,49152,1722019840,91246592,2946289664,3630366720,8050,19261
2019/10/10 23:53,0.503,0.251,99.246,0,0,0,0,0,1722028032,91246592,2946289664,3630358528,8490,40603
2019/10/10 23:53,0.501,0.251,99.248,0,0,0,0,0,1721892864,91246592,2946289664,3630493696,5387,23387
2019/10/10 23:53,0.251,0.251,99.497,0,0,0,0,0,1721782272,91246592,2946297856,3630596096,3958,2009
2019/10/10 23:53,0.251,0.251,99.497,0,0,0,0,0,1721782272,91246592,2946297856,3630596096,2886,1637
2019/10/10 23:53,0.5,0.25,99.25,0,0,0,0,8192,1721782272,91246592,2946297856,3630596096,4517,1961
2019/10/10 23:53,0.251,0,98.492,1.256,0,0,0,49152,1721782272,91246592,2946297856,3630596096,3620,1652
2019/10/10 23:53,0.752,0.501,98.747,0,0,0,0,0,1721782272,91246592,2946297856,3630596096,3110,2784
2019/10/10 23:53,0.251,0.251,99.497,0,0,0,0,0,1721778176,91246592,2946301952,3630596096,4799,2111
2019/10/10 23:53,0.251,0.251,99.497,0,0,0,0,0,1721778176,91246592,2946301952,3630596096,4754,4553
2019/10/10 23:53,0.501,0.251,99.248,0,0,0,0,0,1721778176,91246592,2946301952,3630596096,3378,8995
2019/10/10 23:53,0.503,0.251,98.995,0.251,0,0,0,40960,1721778176,91246592,2946301952,3630596096,11589,5663
2019/10/10 23:53,0.503,0.251,97.739,1.508,0,0,0,8192,1721769984,91246592,2946310144,3630596096,8241,4533
2019/10/10 23:53,0.501,0,99.499,0,0,0,0,0,1721737216,91246592,2946326528,3630612480,3160,2471
2019/10/10 23:53,0.503,0.251,99.246,0,0,0,0,0,1721733120,91246592,2946330624,3630612480,4272,2428
2019/10/10 23:53,0.251,0.251,99.499,0,0,0,0,10641408,1721733120,91246592,2946330624,3630612480,3131,1784
2019/10/10 23:53,0.501,0.251,99.248,0,0,0,0,0,1721733120,91246592,2946330624,3630612480,2641,1803
2019/10/10 23:53,0.251,0.251,97.995,1.504,0,0,0,188416,1721733120,91246592,2946330624,3630612480,4221,1962
2019/10/10 23:53,0.503,0,99.497,0,0,0,0,0,1721733120,91246592,2946330624,3630612480,3134,1760
2019/10/10 23:53,0.25,0.5,99.25,0,0,0,0,0,1721733120,91246592,2946330624,3630612480,2644,1787
2019/10/10 23:53,0.503,0,99.497,0,0,0,0,188416,1721708544,91246592,2946330624,3630637056,4221,1962
2019/10/10 23:53,0.251,0,99.749,0,0,0,0,0,1721708544,91246592,2946330624,3630637056,3399,1858
