,0.723332454,,,,,,,60672.67546,1778694117,,,,120874.1609,18836.99472
system,total cpu usage,,,,,,dsk/total,,memory usage,,,,net/total,
date/time,usr,sys,idl,wai,hiq,siq,read,writ,used,buff,cach,free,recv,send
2019/10/10 1:50,26.316,3.759,69.674,0,0,0.251,0,0,1641517056,90738688,2416287744,4241379328,2168,1129
2019/10/10 1:50,35.013,3.023,61.965,0,0,0,0,40960,1710170112,90738688,2416349184,4172664832,1522,1388
2019/10/10 1:50,19.75,1.75,78.5,0,0,0,0,147456,1726251008,90738688,2416349184,4156583936,17950,648055
2019/10/10 1:50,0.501,0.251,99.248,0,0,0,0,0,1726455808,90738688,2416365568,4156362752,5697,12047
2019/10/10 1:50,0.503,0,98.995,0.503,0,0,0,434176,1726611456,90738688,2416369664,4156203008,1452,810
2019/10/10 1:50,0.251,0.501,99.248,0,0,0,0,0,1724579840,90738688,2416369664,4158234624,6870,4753
2019/10/10 1:50,0.756,0.252,98.992,0,0,0,0,32768,1724452864,90738688,2416369664,4158361600,5597,3043
2019/10/10 1:50,1,0.25,98.75,0,0,0,0,8192,1724469248,90738688,2416369664,4158345216,5378,3298
2019/10/10 1:50,0.752,0.251,98.997,0,0,0,0,0,1724596224,90738688,2416369664,4158218240,10371,14297
2019/10/10 1:50,0.251,0,99.248,0.501,0,0,0,32768,1724583936,90738688,2416390144,4158210048,3667,3220
2019/10/10 1:50,0.251,0.501,99.248,0,0,0,0,0,1724571648,90738688,2416394240,4158218240,2886,1652
2019/10/10 1:50,0.251,0.251,99.499,0,0,0,0,507904,1724547072,90738688,2416394240,4158242816,4517,1961
2019/10/10 1:50,0.251,0.251,99.497,0,0,0,0,0,1724538880,90738688,2416394240,4158251008,5564,6872
2019/10/10 1:50,0.503,0.251,99.246,0,0,0,0,0,1724522496,90738688,2416394240,4158267392,5054,18766
2019/10/10 1:50,0.503,0.251,98.995,0.251,0,0,0,57344,1724506112,90738688,2416394240,4158283776,7997,20126
2019/10/10 1:50,0.752,0.251,98.997,0,0,0,0,0,1724506112,90738688,2416394240,4158283776,6018,12059
2019/10/10 1:50,0.503,0.251,99.246,0,0,0,0,8192,1724506112,90738688,2416394240,4158283776,7126,18597
2019/10/10 1:50,0.752,0.251,98.747,0,0,0.251,0,0,1725321216,90738688,2416398336,4157464576,7008,24168
2019/10/10 1:50,0.503,0.251,99.246,0,0,0,0,0,1725173760,90738688,2416402432,4157607936,4188,2355
2019/10/10 1:50,0.251,0.251,99.497,0,0,0,0,0,1725165568,90738688,2416410624,4157607936,2848,1727
2019/10/10 1:50,0.5,0.5,98.75,0.25,0,0,0,57344,1725165568,90738688,2416410624,4157607936,5599,2404
2019/10/10 1:50,0.503,0,99.497,0,0,0,0,16384,1725165568,90738688,2416410624,4157607936,5224,2615
2019/10/10 1:50,0.501,0.251,99.248,0,0,0,0,0,1725034496,90738688,2416414720,4157734912,2966,2507
2019/10/10 1:50,0.75,0.25,99,0,0,0,0,0,1725038592,90738688,2416418816,4157726720,4421,2151
2019/10/10 1:50,0.251,0.501,99.248,0,0,0,0,0,1725022208,90738688,2416418816,4157743104,3412,1831
2019/10/10 1:50,0.503,0,99.497,0,0,0,0,0,1725022208,90738688,2416418816,4157743104,2736,1637
2019/10/10 1:50,0.499,0.499,96.509,2.494,0,0,0,49152,1725022208,90738688,2416418816,4157743104,4685,2243
2019/10/10 1:50,0.503,0,99.497,0,0,0,0,0,1725022208,90738688,2416418816,4157743104,3598,2043
2019/10/10 1:50,0.252,0.252,99.496,0,0,0,0,0,1725001728,90738688,2416422912,4157759488,8372,4618
2019/10/10 1:50,0.752,0.251,98.997,0,0,0,0,0,1725001728,90738688,2416422912,4157759488,4761,2177
2019/10/10 1:50,0.25,0.5,99.25,0,0,0,0,0,1724874752,90738688,2416422912,4157886464,3378,1895
2019/10/10 1:50,0.501,0.251,99.248,0,0,0,0,10633216,1724862464,90738688,2416435200,4157886464,2874,1922
2019/10/10 1:50,0.251,0.251,92.714,6.784,0,0,0,180224,1724862464,90738688,2416435200,4157886464,4221,1977
2019/10/10 1:50,0.5,0.25,99.25,0,0,0,0,0,1724862464,90738688,2416435200,4157886464,3188,1991
2019/10/10 1:50,0.251,0.251,99.497,0,0,0,0,8192,1724862464,90738688,2416435200,4157886464,3548,2314
2019/10/10 1:50,0.251,0.251,99.499,0,0,0,0,0,1724854272,90738688,2416435200,4157894656,4263,2019
2019/10/10 1:50,0.251,0.251,99.497,0,0,0,0,155648,1724854272,90738688,2416435200,4157894656,4003,2509
