,0.751910864,,,,,,,63094.37326,1788571602,,,,5452.89415,19783.19777
system,total cpu usage,,,,,,dsk/total,,memory usage,,,,net/total,
date/time,usr,sys,idl,wai,hiq,siq,read,writ,used,buff,cach,free,recv,send
2019/10/10 2:39,25.313,4.01,70.677,0,0,0,0,0,1648680960,90808320,2422980608,4227452928,3256,1385
2019/10/10 2:39,41.25,3.25,55.25,0.25,0,0,0,32768,1726521344,90808320,2422980608,4149612544,1576,1363
2019/10/10 2:39,18.844,1.256,79.899,0,0,0,0,155648,1742184448,90808320,2423001088,4133928960,20882,658089
2019/10/10 2:39,0.251,0.251,99.497,0,0,0,0,0,1742184448,90808320,2423001088,4133928960,3084,2583
2019/10/10 2:39,0.501,0.501,98.997,0,0,0,0,0,1742184448,90808320,2423001088,4133928960,3788,2188
2019/10/10 2:39,0.501,0.251,98.747,0.501,0,0,0,360448,1735454720,90808320,2423001088,4140658688,2865,2787
2019/10/10 2:39,0.756,0.252,98.992,0,0,0,0,49152,1735598080,90808320,2423001088,4140515328,9353,4704
2019/10/10 2:39,0.756,0.252,98.992,0,0,0,0,0,1735712768,90808320,2423013376,4140388352,3217,2185
2019/10/10 2:39,0.503,0.251,99.246,0,0,0,0,0,1735577600,90808320,2423021568,4140515328,11298,20003
2019/10/10 2:39,0.501,0.251,99.248,0,0,0,0,0,1735557120,90808320,2423025664,4140531712,4755,1957
2019/10/10 2:39,0.251,0.251,99.499,0,0,0,0,0,1735557120,90808320,2423025664,4140531712,3986,4220
2019/10/10 2:39,0.251,0.251,99.248,0.251,0,0,0,32768,1735557120,90808320,2423025664,4140531712,3697,8858
2019/10/10 2:39,0.252,0,99.748,0,0,0,0,16384,1735524352,90808320,2423025664,4140564480,4716,2217
2019/10/10 2:39,0.5,0.25,99.25,0,0,0,0,0,1735507968,90808320,2423025664,4140580864,2886,1610
2019/10/10 2:39,0.5,0.5,99,0,0,0,0,16384,1735495680,90808320,2423029760,4140589056,5687,3004
2019/10/10 2:39,0.504,0,99.496,0,0,0,0,0,1735495680,90808320,2423029760,4140589056,11937,17562
2019/10/10 2:39,0.501,0.251,99.248,0,0,0,0,0,1735475200,90808320,2423033856,4140605440,7476,57025
2019/10/10 2:39,0.501,0.251,98.496,0.752,0,0,0,73728,1735475200,90808320,2423033856,4140605440,3697,9157
2019/10/10 2:39,0.5,0.5,99,0,0,0,0,0,1735602176,90808320,2423033856,4140478464,5196,2306
2019/10/10 2:39,0.251,0,99.499,0,0,0.251,0,0,1735602176,90808320,2423033856,4140478464,2886,1637
2019/10/10 2:39,0.251,0.251,99.497,0,0,0,0,0,1735602176,90808320,2423033856,4140478464,4151,1910
2019/10/10 2:39,0.754,0,99.246,0,0,0,0,0,1735598080,90808320,2423037952,4140478464,4900,2555
2019/10/10 2:39,0.251,0.251,98.995,0.503,0,0,0,417792,1735593984,90808320,2423042048,4140478464,2923,2577
2019/10/10 2:39,0.75,0.25,99,0,0,0,0,0,1735467008,90808320,2423042048,4140605440,4474,2245
2019/10/10 2:39,0.501,0.251,99.248,0,0,0,0,0,1735462912,90808320,2423046144,4140605440,6628,2765
2019/10/10 2:39,0.252,0,99.748,0,0,0,0,0,1735454720,90808320,2423046144,4140613632,4116,2127
2019/10/10 2:39,0.501,0.251,99.248,0,0,0,0,0,1735446528,90808320,2423054336,4140613632,6775,3979
2019/10/10 2:39,0.251,0.503,98.744,0.503,0,0,0,32768,1735442432,90808320,2423058432,4140613632,5585,3337
2019/10/10 2:39,0.5,0.25,99.25,0,0,0,0,0,1735438336,90808320,2423062528,4140613632,2817,2019
2019/10/10 2:39,0.503,0,99.497,0,0,0,0,0,1735434240,90808320,2423066624,4140613632,3183,1955
2019/10/10 2:39,0.251,0.251,99.499,0,0,0,0,0,1735434240,90808320,2423066624,4140613632,4219,1981
2019/10/10 2:40,0.251,0.251,99.499,0,0,0,0,0,1735434240,90808320,2423066624,4140613632,2630,1679
2019/10/10 2:40,0.251,0.251,99.497,0,0,0,0,10797056,1735561216,90808320,2423066624,4140486656,3133,1745
2019/10/10 2:40,0.501,0.251,97.744,1.504,0,0,0,204800,1735553024,90808320,2423066624,4140494848,4222,1977
2019/10/10 2:40,0.251,0,99.749,0,0,0,0,0,1735553024,90808320,2423066624,4140494848,2590,1653
2019/10/10 2:40,0.5,0.5,99,0,0,0,0,8192,1735553024,90808320,2423066624,4140494848,4145,2572
2019/10/10 2:40,0.5,0.25,99.25,0,0,0,0,0,1735553024,90808320,2423066624,4140494848,5047,2981
