"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-9",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3t2_cidd_9.csv",,,,"Date:","26 Sep 2019 04:37:49 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 04:37:49,0.130,0.075,94.854,4.938,0.0,0.002,482115584.0,8577024.0,149147648.0,3503484928.0,7703.862,16820.645,0.0,0.0,0.087,0.416,java / 51:0
26-09 04:37:50,0.500,0.500,99.0,0.0,0.0,0.0,482111488.0,8577024.0,149110784.0,3503525888.0,1048576.0,0.0,239.0,1625.0,4.0,0.0,java / 1048576:0
26-09 04:37:51,1.0,0.0,99.0,0.0,0.0,0.0,482238464.0,8577024.0,149110784.0,3503398912.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 04:37:52,0.995,0.498,98.507,0.0,0.0,0.0,482238464.0,8577024.0,149110784.0,3503398912.0,1048576.0,0.0,281.0,1396.0,4.0,0.0,java / 1048576:0
26-09 04:37:53,1.0,0.0,99.0,0.0,0.0,0.0,482238464.0,8577024.0,149110784.0,3503398912.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 04:37:54,0.0,0.503,99.497,0.0,0.0,0.0,482500608.0,8577024.0,148848640.0,3503398912.0,786432.0,0.0,281.0,1011.0,3.0,0.0,java / 786432:0
26-09 04:37:55,0.503,0.0,98.492,1.005,0.0,0.0,482492416.0,8585216.0,148848640.0,3503398912.0,1048576.0,28672.0,347.0,1466.0,4.0,2.0,java / 1048576:0
26-09 04:37:56,0.498,0.498,98.507,0.498,0.0,0.0,482492416.0,8585216.0,148848640.0,3503398912.0,1048576.0,0.0,239.0,961.0,4.0,0.0,java / 1048576:0
26-09 04:37:57,0.503,0.0,99.497,0.0,0.0,0.0,482492416.0,8585216.0,148848640.0,3503398912.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 04:37:58,0.500,0.500,99.0,0.0,0.0,0.0,482582528.0,8585216.0,148979712.0,3503177728.0,1179648.0,0.0,281.0,1396.0,5.0,0.0,java / 1179648:0
26-09 04:37:59,0.0,0.0,100.0,0.0,0.0,0.0,482455552.0,8585216.0,148979712.0,3503304704.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 04:38:00,0.500,0.0,99.0,0.500,0.0,0.0,482455552.0,8585216.0,148979712.0,3503304704.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 04:38:01,1.0,0.0,98.500,0.500,0.0,0.0,482320384.0,8593408.0,148979712.0,3503431680.0,1048576.0,12288.0,281.0,1396.0,4.0,2.0,java / 1048576:0
26-09 04:38:02,0.0,0.503,98.995,0.503,0.0,0.0,482574336.0,8593408.0,148979712.0,3503177728.0,1048576.0,40960.0,173.0,859.0,4.0,2.0,java / 1048576:12288
26-09 04:38:03,0.995,0.498,98.507,0.0,0.0,0.0,482574336.0,8593408.0,148979712.0,3503177728.0,1048576.0,0.0,173.0,933.0,4.0,0.0,java / 1048576:0
26-09 04:38:04,0.995,0.0,98.507,0.0,0.0,0.498,482570240.0,8597504.0,148979712.0,3503177728.0,1052672.0,0.0,371.0,1420.0,5.0,0.0,java / 1048576:8192
