"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-10",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3_cidd_10.csv",,,,"Date:","25 Sep 2019 05:48:18 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
25-09 05:48:18,0.149,0.076,96.136,3.636,0.0,0.003,515903488.0,5423104.0,86761472.0,3535237120.0,8078.611,17809.463,0.0,0.0,0.089,0.417,java / 4972:7679
25-09 05:48:19,0.505,0.0,98.990,0.505,0.0,0.0,516071424.0,5423104.0,86867968.0,3534962688.0,0.0,0.0,615.0,2587.0,0.0,0.0,java / 4972:7679
25-09 05:48:20,0.498,0.995,98.507,0.0,0.0,0.0,516071424.0,5423104.0,86867968.0,3534962688.0,0.0,0.0,319.0,1365.0,0.0,0.0,java / 4972:7679
25-09 05:48:21,0.0,0.0,100.0,0.0,0.0,0.0,516046848.0,5423104.0,86867968.0,3534987264.0,0.0,0.0,319.0,1365.0,0.0,0.0,java / 4972:7679
25-09 05:48:22,0.995,0.498,98.507,0.0,0.0,0.0,516046848.0,5423104.0,86867968.0,3534987264.0,0.0,81920.0,351.0,1459.0,0.0,17.0,java / 0:12288
25-09 05:48:23,0.0,0.0,97.487,2.513,0.0,0.0,516046848.0,5431296.0,86859776.0,3534987264.0,0.0,151552.0,283.0,985.0,0.0,3.0,java / 0:12288
25-09 05:48:24,0.0,0.500,99.500,0.0,0.0,0.0,516038656.0,5431296.0,86867968.0,3534987264.0,0.0,0.0,319.0,1397.0,0.0,0.0,java / 0:12288
25-09 05:48:25,0.0,0.0,100.0,0.0,0.0,0.0,516038656.0,5431296.0,86867968.0,3534987264.0,0.0,0.0,351.0,1459.0,0.0,0.0,java / 0:12288
25-09 05:48:26,0.503,0.0,99.497,0.0,0.0,0.0,516005888.0,5431296.0,86867968.0,3535020032.0,0.0,0.0,241.0,911.0,0.0,0.0,java / 0:12288
25-09 05:48:27,0.495,0.495,99.010,0.0,0.0,0.0,516005888.0,5431296.0,86867968.0,3535020032.0,0.0,0.0,241.0,911.0,0.0,0.0,java / 0:12288
