"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-6",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3_cidd_6.csv",,,,"Date:","25 Sep 2019 05:47:56 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
25-09 05:47:56,0.123,0.071,96.156,3.647,0.0,0.003,589692928.0,5492736.0,87187456.0,3460952064.0,6662.046,16855.994,0.0,0.0,0.078,0.417,java / 4059:6820
25-09 05:47:57,0.503,0.503,98.492,0.503,0.0,0.0,589828096.0,5492736.0,87355392.0,3460648960.0,0.0,0.0,175.0,1528.0,0.0,0.0,java / 4059:6820
25-09 05:47:58,0.495,0.495,99.010,0.0,0.0,0.0,589955072.0,5492736.0,87355392.0,3460521984.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4059:6820
25-09 05:47:59,0.0,0.0,100.0,0.0,0.0,0.0,589955072.0,5492736.0,87355392.0,3460521984.0,0.0,0.0,285.0,1355.0,0.0,0.0,java / 4059:6820
25-09 05:48:00,0.500,0.0,99.500,0.0,0.0,0.0,589955072.0,5492736.0,87355392.0,3460521984.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4059:6820
25-09 05:48:01,0.0,0.0,100.0,0.0,0.0,0.0,589955072.0,5492736.0,87355392.0,3460521984.0,0.0,0.0,217.0,850.0,0.0,0.0,java / 4059:6820
25-09 05:48:02,0.503,0.0,98.995,0.503,0.0,0.0,589946880.0,5500928.0,87355392.0,3460521984.0,0.0,131072.0,351.0,1457.0,0.0,2.0,java / 4059:6820
25-09 05:48:03,0.500,0.0,99.500,0.0,0.0,0.0,589914112.0,5500928.0,87355392.0,3460554752.0,0.0,0.0,175.0,824.0,0.0,0.0,java / 4059:6820
25-09 05:48:04,0.0,0.503,99.497,0.0,0.0,0.0,589914112.0,5500928.0,87355392.0,3460554752.0,0.0,12288.0,175.0,808.0,0.0,2.0,java / 0:12288
25-09 05:48:05,0.0,0.500,99.500,0.0,0.0,0.0,589914112.0,5500928.0,87355392.0,3460554752.0,0.0,0.0,285.0,1395.0,0.0,0.0,java / 0:12288
25-09 05:48:06,0.498,0.498,99.005,0.0,0.0,0.0,589914112.0,5500928.0,87355392.0,3460554752.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 0:12288
25-09 05:48:07,0.0,0.500,98.0,1.0,0.0,0.500,589905920.0,5509120.0,87355392.0,3460554752.0,0.0,16384.0,241.0,910.0,0.0,2.0,java / 0:12288
25-09 05:48:08,0.500,0.0,99.500,0.0,0.0,0.0,589905920.0,5509120.0,87355392.0,3460554752.0,0.0,0.0,285.0,1371.0,0.0,0.0,java / 0:12288
25-09 05:48:09,0.0,0.0,100.0,0.0,0.0,0.0,589905920.0,5509120.0,87355392.0,3460554752.0,0.0,16384.0,175.0,808.0,0.0,2.0,java / 0:8192
25-09 05:48:10,0.500,0.500,99.0,0.0,0.0,0.0,589905920.0,5509120.0,87355392.0,3460554752.0,0.0,0.0,175.0,848.0,0.0,0.0,java / 0:8192
