"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-9",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3_cidd_9.csv",,,,"Date:","25 Sep 2019 05:48:12 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
25-09 05:48:12,0.125,0.075,94.748,5.050,0.0,0.002,559222784.0,5578752.0,87838720.0,3490684928.0,6963.512,16176.348,0.0,0.0,0.078,0.414,java / 3945:6587
25-09 05:48:13,0.0,0.503,98.995,0.503,0.0,0.0,559255552.0,5578752.0,88047616.0,3490443264.0,0.0,0.0,175.0,1564.0,0.0,0.0,java / 3945:6587
25-09 05:48:14,0.500,0.0,99.500,0.0,0.0,0.0,559271936.0,5578752.0,88047616.0,3490426880.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 3945:6587
25-09 05:48:15,0.0,0.500,99.500,0.0,0.0,0.0,559280128.0,5578752.0,88047616.0,3490418688.0,0.0,0.0,363.0,1420.0,0.0,0.0,java / 3945:6587
25-09 05:48:16,0.498,0.498,99.005,0.0,0.0,0.0,559280128.0,5578752.0,88047616.0,3490418688.0,0.0,0.0,175.0,1196.0,0.0,0.0,java / 3945:6587
25-09 05:48:17,0.503,0.0,98.492,1.005,0.0,0.0,559271936.0,5586944.0,88047616.0,3490418688.0,0.0,172032.0,217.0,874.0,0.0,4.0,java / 3945:6587
25-09 05:48:18,0.503,0.0,99.497,0.0,0.0,0.0,559271936.0,5586944.0,88047616.0,3490418688.0,0.0,0.0,285.0,1346.0,0.0,0.0,java / 3945:6587
25-09 05:48:19,0.498,0.498,99.005,0.0,0.0,0.0,559271936.0,5586944.0,88047616.0,3490418688.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 3945:6587
25-09 05:48:20,0.0,0.500,99.500,0.0,0.0,0.0,559239168.0,5586944.0,88047616.0,3490451456.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 3945:6587
25-09 05:48:21,0.0,0.500,99.500,0.0,0.0,0.0,559239168.0,5586944.0,88047616.0,3490451456.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 3945:6587
25-09 05:48:22,0.498,0.498,98.010,0.995,0.0,0.0,559239168.0,5599232.0,88035328.0,3490451456.0,0.0,49152.0,175.0,808.0,0.0,2.0,java / 3945:6587
25-09 05:48:23,0.0,0.0,100.0,0.0,0.0,0.0,559226880.0,5599232.0,88047616.0,3490451456.0,0.0,0.0,175.0,824.0,0.0,0.0,java / 3945:6587
25-09 05:48:24,0.0,0.500,99.500,0.0,0.0,0.0,559226880.0,5599232.0,88047616.0,3490451456.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 3945:6587
25-09 05:48:25,0.500,0.0,99.500,0.0,0.0,0.0,559226880.0,5599232.0,88047616.0,3490451456.0,0.0,0.0,241.0,910.0,0.0,0.0,java / 3945:6587
25-09 05:48:26,0.500,0.0,99.500,0.0,0.0,0.0,559226880.0,5599232.0,88047616.0,3490451456.0,0.0,0.0,241.0,910.0,0.0,0.0,java / 3945:6587
25-09 05:48:27,0.498,0.498,99.005,0.0,0.0,0.0,559226880.0,5599232.0,88047616.0,3490451456.0,0.0,24576.0,351.0,1456.0,0.0,4.0,java / 0:8192
25-09 05:48:28,0.505,0.0,98.990,0.505,0.0,0.0,559185920.0,5607424.0,88047616.0,3490484224.0,0.0,20480.0,175.0,848.0,0.0,2.0,java / 0:4096
25-09 05:48:29,0.498,0.0,99.502,0.0,0.0,0.0,559185920.0,5607424.0,88047616.0,3490484224.0,0.0,0.0,175.0,848.0,0.0,0.0,java / 0:4096
25-09 05:48:30,0.503,0.0,99.497,0.0,0.0,0.0,559185920.0,5607424.0,88047616.0,3490484224.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 0:4096
25-09 05:48:31,0.498,0.498,99.005,0.0,0.0,0.0,559185920.0,5607424.0,88047616.0,3490484224.0,0.0,0.0,175.0,832.0,0.0,0.0,java / 0:4096
