"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-7",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3t2_cidd_7.csv",,,,"Date:","26 Sep 2019 04:37:35 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 04:37:35,0.174,0.074,94.999,4.750,0.0,0.003,510009344.0,8474624.0,147906560.0,3476934656.0,8961.022,17534.826,0.0,0.0,0.091,0.408,java / 54:0
26-09 04:37:36,0.500,0.500,98.500,0.500,0.0,0.0,510074880.0,8474624.0,147968000.0,3476807680.0,1048576.0,0.0,503.0,2033.0,4.0,0.0,java / 1048576:0
26-09 04:37:37,0.498,0.498,98.507,0.498,0.0,0.0,510074880.0,8474624.0,147968000.0,3476807680.0,1048576.0,0.0,239.0,945.0,5.0,0.0,java / 1048576:0
26-09 04:37:38,3.0,0.500,96.500,0.0,0.0,0.0,510054400.0,8474624.0,147861504.0,3476934656.0,1048576.0,0.0,347.0,1491.0,4.0,0.0,java / 1048576:0
26-09 04:37:39,0.503,0.0,98.492,1.005,0.0,0.0,510607360.0,8482816.0,147902464.0,3476332544.0,1048576.0,32768.0,281.0,987.0,4.0,2.0,java / 1048576:0
26-09 04:37:40,1.0,0.0,97.500,1.500,0.0,0.0,510857216.0,8482816.0,147169280.0,3476815872.0,626688.0,0.0,281.0,1003.0,14.0,0.0,java / 626688:0
26-09 04:37:41,0.500,0.500,98.0,1.0,0.0,0.0,510529536.0,8482816.0,147980288.0,3476332544.0,1482752.0,0.0,347.0,1491.0,17.0,0.0,java / 1482752:0
26-09 04:37:42,0.500,0.500,99.0,0.0,0.0,0.0,511045632.0,8482816.0,147972096.0,3475824640.0,1048576.0,0.0,239.0,945.0,4.0,0.0,java / 1048576:0
26-09 04:37:43,0.500,0.500,99.0,0.0,0.0,0.0,511049728.0,8482816.0,148037632.0,3475755008.0,1114112.0,0.0,239.0,945.0,5.0,0.0,java / 1114112:0
