"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-3",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3_cidd_3.csv",,,,"Date:","25 Sep 2019 05:47:50 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
25-09 05:47:50,0.149,0.071,94.805,4.973,0.0,0.003,540340224.0,4939776.0,86077440.0,3511967744.0,7694.203,16434.788,0.0,0.0,0.081,0.420,java / 4588:6613
25-09 05:47:51,0.500,0.500,98.500,0.500,0.0,0.0,540360704.0,4939776.0,86228992.0,3511795712.0,0.0,0.0,241.0,1630.0,0.0,0.0,java / 4588:6613
25-09 05:47:52,0.498,0.498,99.005,0.0,0.0,0.0,540487680.0,4939776.0,86228992.0,3511668736.0,0.0,0.0,319.0,1364.0,0.0,0.0,java / 4588:6613
25-09 05:47:53,0.0,0.0,99.495,0.505,0.0,0.0,540479488.0,4947968.0,86228992.0,3511668736.0,0.0,151552.0,351.0,1456.0,0.0,2.0,java / 4588:6613
25-09 05:47:54,0.500,0.0,99.500,0.0,0.0,0.0,540446720.0,4947968.0,86228992.0,3511701504.0,0.0,0.0,319.0,1396.0,0.0,0.0,java / 4588:6613
25-09 05:47:55,0.500,0.0,99.500,0.0,0.0,0.0,540446720.0,4947968.0,86228992.0,3511701504.0,0.0,0.0,283.0,976.0,0.0,0.0,java / 4588:6613
25-09 05:47:56,0.0,0.500,99.500,0.0,0.0,0.0,540446720.0,4947968.0,86228992.0,3511701504.0,0.0,0.0,351.0,1432.0,0.0,0.0,java / 4588:6613
25-09 05:47:57,0.500,0.0,99.500,0.0,0.0,0.0,540446720.0,4947968.0,86228992.0,3511701504.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4588:6613
25-09 05:47:58,0.503,0.0,98.995,0.503,0.0,0.0,540438528.0,4956160.0,86228992.0,3511701504.0,0.0,12288.0,319.0,1364.0,0.0,2.0,java / 4588:6613
25-09 05:47:59,0.0,0.0,100.0,0.0,0.0,0.0,540405760.0,4956160.0,86228992.0,3511734272.0,0.0,0.0,351.0,1472.0,0.0,0.0,java / 4588:6613
25-09 05:48:00,0.500,0.500,99.0,0.0,0.0,0.0,540405760.0,4956160.0,86228992.0,3511734272.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4588:6613
25-09 05:48:01,0.500,0.0,99.500,0.0,0.0,0.0,540405760.0,4956160.0,86228992.0,3511734272.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4588:6613
25-09 05:48:02,0.0,0.503,99.497,0.0,0.0,0.0,540405760.0,4956160.0,86228992.0,3511734272.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 4588:6613
25-09 05:48:03,0.495,0.495,98.020,0.990,0.0,0.0,540397568.0,4964352.0,86228992.0,3511734272.0,0.0,12288.0,241.0,910.0,0.0,2.0,java / 4588:6613
25-09 05:48:04,0.0,0.0,100.0,0.0,0.0,0.0,540397568.0,4964352.0,86228992.0,3511734272.0,0.0,0.0,175.0,824.0,0.0,0.0,java / 4588:6613
25-09 05:48:05,0.498,0.498,99.005,0.0,0.0,0.0,540397568.0,4964352.0,86228992.0,3511734272.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 4588:6613
25-09 05:48:06,0.0,0.0,100.0,0.0,0.0,0.0,540397568.0,4964352.0,86228992.0,3511734272.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4588:6613
25-09 05:48:07,0.0,0.500,99.500,0.0,0.0,0.0,540397568.0,4964352.0,86228992.0,3511734272.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4588:6613
25-09 05:48:08,0.503,0.0,98.995,0.503,0.0,0.0,540356608.0,4972544.0,86228992.0,3511767040.0,0.0,12288.0,351.0,1456.0,0.0,2.0,java / 4588:6613
25-09 05:48:09,0.0,0.0,100.0,0.0,0.0,0.0,540356608.0,4972544.0,86228992.0,3511767040.0,0.0,0.0,175.0,824.0,0.0,0.0,java / 4588:6613
25-09 05:48:10,0.500,0.0,99.500,0.0,0.0,0.0,540356608.0,4972544.0,86228992.0,3511767040.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4588:6613
25-09 05:48:11,0.990,0.495,98.515,0.0,0.0,0.0,540356608.0,4972544.0,86228992.0,3511767040.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 4588:6613
25-09 05:48:12,0.0,0.0,100.0,0.0,0.0,0.0,540356608.0,4972544.0,86228992.0,3511767040.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4588:6613
25-09 05:48:13,0.495,0.495,98.020,0.990,0.0,0.0,540348416.0,4980736.0,86228992.0,3511767040.0,0.0,12288.0,241.0,910.0,0.0,2.0,java / 4588:6613
25-09 05:48:14,0.0,0.0,100.0,0.0,0.0,0.0,540348416.0,4980736.0,86228992.0,3511767040.0,0.0,0.0,285.0,1370.0,0.0,0.0,java / 4588:6613
25-09 05:48:15,0.498,0.498,99.005,0.0,0.0,0.0,540348416.0,4980736.0,86228992.0,3511767040.0,0.0,0.0,253.0,874.0,0.0,0.0,java / 4588:6613
25-09 05:48:16,0.0,0.0,100.0,0.0,0.0,0.0,540315648.0,4980736.0,86228992.0,3511799808.0,0.0,0.0,175.0,1196.0,0.0,0.0,java / 4588:6613
25-09 05:48:17,0.498,0.498,99.005,0.0,0.0,0.0,540311552.0,4980736.0,86233088.0,3511799808.0,0.0,24576.0,285.0,1354.0,0.0,4.0,java / 0:8192
25-09 05:48:18,0.503,0.0,98.492,1.005,0.0,0.0,540299264.0,4993024.0,86233088.0,3511799808.0,0.0,57344.0,241.0,942.0,0.0,2.0,java / 0:4096
25-09 05:48:19,0.500,0.0,99.500,0.0,0.0,0.0,540299264.0,4993024.0,86233088.0,3511799808.0,0.0,0.0,175.0,848.0,0.0,0.0,java / 0:4096
25-09 05:48:20,0.0,0.503,99.497,0.0,0.0,0.0,540299264.0,4993024.0,86233088.0,3511799808.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 0:8192
25-09 05:48:21,0.498,0.498,99.005,0.0,0.0,0.0,540299264.0,4993024.0,86233088.0,3511799808.0,0.0,0.0,241.0,934.0,0.0,0.0,java / 0:8192
25-09 05:48:22,0.0,0.500,99.500,0.0,0.0,0.0,540299264.0,4997120.0,86228992.0,3511799808.0,4096.0,8192.0,175.0,808.0,1.0,1.0,java / 0:8192
25-09 05:48:23,0.503,0.0,98.995,0.503,0.0,0.0,540254208.0,5005312.0,86233088.0,3511832576.0,0.0,28672.0,393.0,1522.0,0.0,2.0,java / 0:8192
25-09 05:48:24,0.500,0.0,99.500,0.0,0.0,0.0,540254208.0,5005312.0,86233088.0,3511832576.0,0.0,0.0,175.0,824.0,0.0,0.0,java / 0:8192
