,0.716672222,,,,,,,62486.75556,1777239108,,,,39133.20833,17923.54444
system,total cpu usage,,,,,,dsk/total,,memory usage,,,,net/total,
date/time,usr,sys,idl,wai,hiq,siq,read,writ,used,buff,cach,free,recv,send
2019/11/10 2:10,12.563,2.764,83.668,1.005,0,0,0,376832,1612603392,91279360,2955747328,3730292736,2168,1542
2019/11/10 2:10,39.5,3.25,57,0.25,0,0,0,0,1695973376,91279360,2955812864,3646857216,1522,1205
2019/11/10 2:10,30.326,2.005,67.669,0,0,0,0,163840,1725366272,91279360,2955812864,3617464320,19657,649823
2019/11/10 2:10,0.501,0.251,99.248,0,0,0,0,0,1725599744,91279360,2955833344,3617210368,5697,12486
2019/11/10 2:10,0.251,0.251,99.497,0,0,0,0,0,1725599744,91279360,2955833344,3617210368,2205,1434
2019/11/10 2:10,0.251,0.251,99.497,0,0,0,0,0,1725472768,91279360,2955833344,3617337344,5536,3762
2019/11/10 2:10,0.503,0.251,98.995,0.251,0,0,0,131072,1725472768,91279360,2955833344,3617337344,6720,3294
2019/11/10 2:10,0.503,0.251,99.246,0,0,0,0,0,1725624320,91279360,2955833344,3617185792,2893,1742
2019/11/10 2:10,1.003,0.251,98.747,0,0,0,0,0,1725595648,91279360,2955853824,3617193984,11189,16448
2019/11/10 2:10,0.251,0.251,99.499,0,0,0,0,0,1725591552,91279360,2955857920,3617193984,4081,2054
2019/11/10 2:10,0.251,0.251,99.497,0,0,0,0,376832,1725591552,91279360,2955857920,3617193984,4142,4307
2019/11/10 2:10,0.251,0.251,98.744,0.754,0,0,0,32768,1725591552,91279360,2955857920,3617193984,4785,9133
2019/11/10 2:10,0.251,0.251,99.497,0,0,0,0,16384,1725591552,91279360,2955857920,3617193984,6160,3428
2019/11/10 2:10,0.503,0.251,99.246,0,0,0,0,0,1725558784,91279360,2955857920,3617226752,4369,3063
2019/11/10 2:10,0.503,0.251,99.246,0,0,0,0,0,1725681664,91279360,2955862016,3617099776,7465,7087
2019/11/10 2:10,0.251,0.251,99.497,0,0,0,0,0,1725808640,91279360,2955862016,3616972800,11148,19886
2019/11/10 2:10,0.501,0.251,99.248,0,0,0,0,0,1725816832,91279360,2955862016,3616964608,6196,54346
2019/11/10 2:10,0.251,0.251,98.997,0.501,0,0,0,49152,1725800448,91279360,2955862016,3616980992,4517,8995
2019/11/10 2:10,0.251,0.251,99.497,0,0,0,0,0,1725800448,91279360,2955862016,3616980992,3958,2025
2019/11/10 2:10,1.003,0.501,98.496,0,0,0,0,0,1727795200,91279360,2955862016,3614986240,3271,2020
2019/11/10 2:10,0.501,0.251,99.248,0,0,0,0,8192,1727791104,91279360,2955866112,3614986240,4517,2004
2019/11/10 2:10,0,0.252,99.748,0,0,0,0,0,1726742528,91279360,2955866112,3616034816,3430,1761
2019/11/10 2:10,0.5,0.25,99.25,0,0,0,0,0,1726742528,91279360,2955866112,3616034816,3208,1702
2019/11/10 2:10,0.501,0.251,98.747,0.501,0,0,0,98304,1726742528,91279360,2955866112,3616034816,4571,2935
2019/11/10 2:10,0.756,0,99.244,0,0,0,0,0,1726763008,91279360,2955870208,3616010240,3886,2019
2019/11/10 2:10,0.5,0.5,99,0,0,0,0,32768,1726595072,91279360,2955870208,3616178176,8010,12396
2019/11/10 2:10,0.251,0.251,99.246,0,0,0.251,0,0,1726459904,91279360,2955878400,3616305152,10221,5033
2019/11/10 2:10,0.501,0.251,99.248,0,0,0,0,0,1726451712,91279360,2955886592,3616305152,4261,2368
2019/11/10 2:10,0.251,0,99.497,0.251,0,0,0,49152,1726435328,91279360,2955894784,3616313344,2641,2312
2019/11/10 2:10,0.251,0.503,99.246,0,0,0,0,0,1726431232,91279360,2955898880,3616313344,4218,2038
2019/11/10 2:10,0.503,0,99.497,0,0,0,0,10641408,1726668800,91279360,2955898880,3616075776,3185,1935
2019/11/10 2:10,0.501,0.251,99.248,0,0,0,0,0,1726668800,91279360,2955898880,3616075776,2587,1652
2019/11/10 2:10,0.251,0.251,99.499,0,0,0,0,0,1726795776,91279360,2955898880,3615948800,4219,1962
2019/11/10 2:10,0.251,0.251,99.499,0,0,0,0,0,1726795776,91279360,2955898880,3615948800,3134,1745
2019/11/10 2:10,0.501,0.501,98.496,0.501,0,0,0,180224,1726668800,91279360,2955898880,3616075776,2590,1636
2019/11/10 2:10,0.252,0,99.748,0,0,0,0,155648,1726652416,91279360,2955898880,3616092160,4221,1978
2019/11/10 2:10,0.251,0.251,99.499,0,0,0,0,0,1726525440,91279360,2955898880,3616219136,3452,2009
