"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_1_2.csv 1 200",,,,"Date:","11 Oct 2019 00:22:43 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 00:22:43,0.282,0.239,99.359,0.117,0.000,0.004,3893.048,70699.908,1563774976.0,91258880.0,2942390272.0,3792498688.0,0.0,0.0
11-10 00:22:44,17.500,3.250,79.250,0.0,0.0,0.0,0.0,0.0,1620795392.0,91258880.0,2947637248.0,3730231296.0,3201.0,1866.0
11-10 00:22:45,41.457,3.266,55.276,0.0,0.0,0.0,0.0,0.0,1711996928.0,91258880.0,2947579904.0,3639087104.0,2120.0,1387.0
11-10 00:22:46,23.367,1.508,74.874,0.0,0.0,0.251,0.0,163840.0,1731080192.0,91258880.0,2947579904.0,3620003840.0,18866.0,620351.0
11-10 00:22:47,0.251,0.251,98.744,0.754,0.0,0.0,0.0,368640.0,1731010560.0,91258880.0,2947600384.0,3620052992.0,3664.0,2965.0
11-10 00:22:48,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1731010560.0,91258880.0,2947600384.0,3620052992.0,4332.0,2312.0
11-10 00:22:49,0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1727201280.0,91258880.0,2947600384.0,3623862272.0,2322.0,2682.0
11-10 00:22:50,0.754,0.251,98.995,0.0,0.0,0.0,0.0,49152.0,1727201280.0,91258880.0,2947600384.0,3623862272.0,8767.0,4318.0
11-10 00:22:51,0.752,0.251,98.997,0.0,0.0,0.0,0.0,0.0,1727098880.0,91258880.0,2947600384.0,3623964672.0,3761.0,2336.0
