"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_6_1.csv 1 200",,,,"Date:","11 Oct 2019 01:03:24 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 01:03:24,0.284,0.239,99.356,0.117,0.000,0.004,3865.378,70571.938,1564372992.0,91267072.0,2945212416.0,3789070336.0,0.0,0.0
11-10 01:03:25,2.267,1.259,96.474,0.0,0.0,0.0,0.0,0.0,1579249664.0,91267072.0,2945216512.0,3774189568.0,1624.0,1433.0
11-10 01:03:26,40.898,4.239,54.863,0.0,0.0,0.0,0.0,0.0,1662087168.0,91267072.0,2950402048.0,3686166528.0,3153.0,1515.0
11-10 01:03:27,27.820,2.506,69.424,0.0,0.0,0.251,0.0,532480.0,1721237504.0,91267072.0,2950402048.0,3627016192.0,14533.0,513021.0
11-10 01:03:28,10.025,0.501,89.474,0.0,0.0,0.0,0.0,24576.0,1724936192.0,91267072.0,2950410240.0,3623309312.0,8656.0,114063.0
11-10 01:03:29,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,1724960768.0,91267072.0,2950418432.0,3623276544.0,3663.0,1532.0
11-10 01:03:30,0.501,0.501,98.997,0.0,0.0,0.0,0.0,0.0,1722163200.0,91267072.0,2950422528.0,3626070016.0,5136.0,4145.0
11-10 01:03:31,0.251,0.251,99.497,0.0,0.0,0.0,0.0,24576.0,1722048512.0,91267072.0,2950426624.0,3626180608.0,3720.0,2010.0
11-10 01:03:32,0.754,0.251,98.995,0.0,0.0,0.0,0.0,40960.0,1722064896.0,91267072.0,2950426624.0,3626164224.0,7048.0,3258.0
11-10 01:03:33,0.750,0.250,97.750,1.250,0.0,0.0,0.0,81920.0,1722191872.0,91267072.0,2950434816.0,3626029056.0,5869.0,6859.0
11-10 01:03:34,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1722200064.0,91267072.0,2950434816.0,3626020864.0,6131.0,8497.0
11-10 01:03:35,0.752,0.251,98.997,0.0,0.0,0.0,0.0,0.0,1722200064.0,91267072.0,2950434816.0,3626020864.0,4293.0,1959.0
11-10 01:03:36,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1721597952.0,91267072.0,2950434816.0,3626622976.0,4575.0,7956.0
11-10 01:03:37,0.750,0.250,99.0,0.0,0.0,0.0,0.0,32768.0,1721794560.0,91267072.0,2950434816.0,3626426368.0,5400.0,10551.0
11-10 01:03:38,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1721905152.0,91267072.0,2950434816.0,3626315776.0,4491.0,5688.0
11-10 01:03:39,0.251,0.251,99.246,0.251,0.0,0.0,0.0,49152.0,1721888768.0,91267072.0,2950434816.0,3626332160.0,3206.0,1744.0
11-10 01:03:40,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1721761792.0,91267072.0,2950434816.0,3626459136.0,2662.0,1653.0
11-10 01:03:41,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1721737216.0,91267072.0,2950434816.0,3626483712.0,4293.0,1962.0
11-10 01:03:42,0.501,0.251,99.248,0.0,0.0,0.0,0.0,16384.0,1721720832.0,91267072.0,2950434816.0,3626500096.0,3526.0,1853.0
11-10 01:03:43,0.504,0.252,99.244,0.0,0.0,0.0,0.0,16384.0,1721593856.0,91267072.0,2950434816.0,3626627072.0,3698.0,2738.0
11-10 01:03:44,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1721589760.0,91267072.0,2950438912.0,3626627072.0,6059.0,2702.0
11-10 01:03:45,0.251,0.251,93.734,5.764,0.0,0.0,0.0,40960.0,1721716736.0,91267072.0,2950438912.0,3626500096.0,3839.0,2273.0
11-10 01:03:46,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1721716736.0,91267072.0,2950438912.0,3626500096.0,3495.0,1880.0
11-10 01:03:47,0.0,0.252,99.748,0.0,0.0,0.0,0.0,385024.0,1721704448.0,91267072.0,2950443008.0,3626508288.0,5220.0,2368.0
11-10 01:03:48,0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1721704448.0,91267072.0,2950443008.0,3626508288.0,3256.0,2438.0
11-10 01:03:49,0.500,0.500,99.0,0.0,0.0,0.0,0.0,0.0,1721700352.0,91267072.0,2950447104.0,3626508288.0,2586.0,1728.0
11-10 01:03:50,0.251,0.0,99.499,0.0,0.0,0.251,0.0,0.0,1721700352.0,91267072.0,2950447104.0,3626508288.0,4259.0,2024.0
11-10 01:03:51,0.251,0.251,97.744,1.754,0.0,0.0,0.0,32768.0,1721573376.0,91267072.0,2950447104.0,3626635264.0,3130.0,1744.0
11-10 01:03:52,0.251,0.251,99.499,0.0,0.0,0.0,0.0,16384.0,1721573376.0,91267072.0,2950447104.0,3626635264.0,2586.0,1653.0
11-10 01:03:53,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1721573376.0,91267072.0,2950447104.0,3626635264.0,4349.0,2044.0
11-10 01:03:54,0.250,0.500,99.250,0.0,0.0,0.0,0.0,8192.0,1721573376.0,91267072.0,2950447104.0,3626635264.0,4088.0,2369.0
11-10 01:03:55,0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,1721561088.0,91267072.0,2950451200.0,3626643456.0,2586.0,1705.0
11-10 01:03:56,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1721561088.0,91267072.0,2950451200.0,3626643456.0,4271.0,2112.0
11-10 01:03:57,0.251,0.501,91.980,7.268,0.0,0.0,0.0,10502144.0,1721815040.0,91267072.0,2950451200.0,3626389504.0,3131.0,1744.0
11-10 01:03:58,0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1721942016.0,91267072.0,2950451200.0,3626262528.0,2589.0,1653.0
11-10 01:03:59,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1721942016.0,91267072.0,2950451200.0,3626262528.0,4274.0,2112.0
11-10 01:04:00,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1721942016.0,91267072.0,2950451200.0,3626262528.0,3133.0,1744.0
11-10 01:04:01,0.252,0.252,99.496,0.0,0.0,0.0,0.0,0.0,1721942016.0,91267072.0,2950451200.0,3626262528.0,3401.0,2251.0
11-10 01:04:02,0.251,0.251,98.995,0.503,0.0,0.0,0.0,212992.0,1721942016.0,91267072.0,2950451200.0,3626262528.0,4274.0,2112.0
11-10 01:04:03,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1721942016.0,91267072.0,2950451200.0,3626262528.0,3133.0,1760.0
11-10 01:04:04,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1721942016.0,91267072.0,2950451200.0,3626262528.0,2721.0,1703.0
11-10 01:04:05,0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,1721942016.0,91267072.0,2950451200.0,3626262528.0,4274.0,2112.0
11-10 01:04:06,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1721942016.0,91267072.0,2950451200.0,3626262528.0,3134.0,1744.0
11-10 01:04:07,0.756,0.504,98.237,0.504,0.0,0.0,0.0,327680.0,1721933824.0,91267072.0,2950459392.0,3626262528.0,26249.0,14955.0
11-10 01:04:08,8.521,1.504,89.724,0.251,0.0,0.0,0.0,180224.0,1748934656.0,91267072.0,2950467584.0,3599253504.0,26605.0,617535.0
11-10 01:04:09,0.752,0.0,98.997,0.0,0.0,0.251,0.0,0.0,1748914176.0,91267072.0,2950488064.0,3599253504.0,5735.0,11873.0
11-10 01:04:10,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1748914176.0,91267072.0,2950488064.0,3599253504.0,3032.0,1784.0
11-10 01:04:11,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1748787200.0,91267072.0,2950488064.0,3599380480.0,4785.0,4282.0
11-10 01:04:12,0.503,0.251,99.246,0.0,0.0,0.0,0.0,49152.0,1751011328.0,91267072.0,2950488064.0,3597156352.0,8300.0,4397.0
11-10 01:04:13,0.252,0.252,98.992,0.504,0.0,0.0,0.0,65536.0,1751023616.0,91267072.0,2950492160.0,3597139968.0,3520.0,2285.0
11-10 01:04:14,0.754,0.0,99.246,0.0,0.0,0.0,0.0,0.0,1751019520.0,91267072.0,2950496256.0,3597139968.0,10698.0,14803.0
11-10 01:04:15,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1751158784.0,91267072.0,2950500352.0,3596996608.0,3436.0,1899.0
