"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_2_1.csv 1 200",,,,"Date:","11 Oct 2019 00:30:38 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 00:30:38,0.282,0.239,99.359,0.117,0.000,0.004,3887.629,70665.609,1564471296.0,91262976.0,2942865408.0,3791323136.0,0.0,0.0
11-10 00:30:39,0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1564483584.0,91262976.0,2942869504.0,3791306752.0,1958.0,1439.0
11-10 00:30:40,26.065,3.258,70.426,0.0,0.0,0.251,0.0,0.0,1637023744.0,91262976.0,2948055040.0,3713581056.0,1624.0,1046.0
11-10 00:30:41,39.850,3.759,56.391,0.0,0.0,0.0,0.0,32768.0,1712881664.0,91262976.0,2948055040.0,3637723136.0,3207.0,1872.0
11-10 00:30:42,18.797,1.253,79.699,0.251,0.0,0.0,0.0,155648.0,1728679936.0,91262976.0,2948075520.0,3621904384.0,20348.0,620110.0
11-10 00:30:43,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1728679936.0,91262976.0,2948075520.0,3621904384.0,1494.0,2374.0
11-10 00:30:44,0.501,0.251,98.747,0.501,0.0,0.0,0.0,368640.0,1728688128.0,91262976.0,2948075520.0,3621896192.0,5206.0,2404.0
11-10 00:30:45,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1725513728.0,91262976.0,2948075520.0,3625070592.0,3660.0,3223.0
11-10 00:30:46,1.003,0.251,98.747,0.0,0.0,0.0,0.0,40960.0,1725530112.0,91262976.0,2948075520.0,3625054208.0,7140.0,3994.0
11-10 00:30:47,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,1725513728.0,91262976.0,2948083712.0,3625062400.0,4848.0,2509.0
11-10 00:30:48,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1725513728.0,91262976.0,2948083712.0,3625062400.0,4276.0,3395.0
11-10 00:30:49,0.251,0.251,99.246,0.251,0.0,0.0,0.0,32768.0,1725505536.0,91262976.0,2948083712.0,3625070592.0,2897.0,1634.0
11-10 00:30:50,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1725505536.0,91262976.0,2948083712.0,3625070592.0,4291.0,1976.0
11-10 00:30:51,0.499,0.499,99.002,0.0,0.0,0.0,0.0,0.0,1725505536.0,91262976.0,2948083712.0,3625070592.0,3204.0,1745.0
11-10 00:30:52,0.251,0.251,99.497,0.0,0.0,0.0,0.0,360448.0,1725489152.0,91262976.0,2948083712.0,3625086976.0,2858.0,1878.0
