"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_4_2.csv 1 200",,,,"Date:","11 Oct 2019 00:56:34 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 00:56:34,0.284,0.239,99.357,0.117,0.000,0.004,3869.989,70592.212,1564921856.0,91267072.0,2944729088.0,3789004800.0,0.0,0.0
11-10 00:56:35,0.251,0.251,99.248,0.251,0.0,0.0,0.0,106496.0,1564774400.0,91267072.0,2944733184.0,3789148160.0,3046.0,1655.0
11-10 00:56:36,35.176,4.523,60.302,0.0,0.0,0.0,0.0,0.0,1656254464.0,91267072.0,2949918720.0,3692482560.0,1720.0,1350.0
11-10 00:56:37,31.407,2.764,65.829,0.0,0.0,0.0,0.0,163840.0,1723969536.0,91267072.0,2949918720.0,3624767488.0,9403.0,509170.0
11-10 00:56:38,14.070,0.754,84.925,0.251,0.0,0.0,0.0,106496.0,1728753664.0,91267072.0,2949935104.0,3619966976.0,15747.0,118339.0
11-10 00:56:39,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1728909312.0,91267072.0,2949939200.0,3619807232.0,1452.0,826.0
11-10 00:56:40,0.501,0.501,98.997,0.0,0.0,0.0,0.0,0.0,1728888832.0,91267072.0,2949943296.0,3619823616.0,4912.0,2714.0
11-10 00:56:41,0.752,0.251,98.496,0.501,0.0,0.0,0.0,368640.0,1723555840.0,91267072.0,2949943296.0,3625156608.0,5781.0,3937.0
11-10 00:56:42,0.754,0.251,98.995,0.0,0.0,0.0,0.0,49152.0,1723555840.0,91267072.0,2949943296.0,3625156608.0,5800.0,3146.0
11-10 00:56:43,0.752,0.251,98.997,0.0,0.0,0.0,0.0,0.0,1723568128.0,91267072.0,2949947392.0,3625140224.0,3523.0,2293.0
11-10 00:56:44,0.251,0.251,99.246,0.0,0.0,0.251,0.0,0.0,1723809792.0,91267072.0,2949951488.0,3624894464.0,10108.0,13376.0
11-10 00:56:45,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1723809792.0,91267072.0,2949951488.0,3624894464.0,2662.0,1634.0
11-10 00:56:46,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1721778176.0,91267072.0,2949951488.0,3626926080.0,4305.0,4336.0
11-10 00:56:47,0.252,0.0,99.496,0.252,0.0,0.0,0.0,40960.0,1722015744.0,91267072.0,2949951488.0,3626688512.0,6763.0,10766.0
11-10 00:56:48,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1721737216.0,91267072.0,2949951488.0,3626967040.0,3398.0,9093.0
11-10 00:56:49,0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1721720832.0,91267072.0,2949951488.0,3626983424.0,3139.0,1745.0
11-10 00:56:50,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1721593856.0,91267072.0,2949951488.0,3627110400.0,4118.0,1852.0
11-10 00:56:51,0.251,0.251,99.499,0.0,0.0,0.0,0.0,16384.0,1721585664.0,91267072.0,2949951488.0,3627118592.0,4265.0,2790.0
11-10 00:56:52,0.251,0.251,99.497,0.0,0.0,0.0,0.0,16384.0,1721585664.0,91267072.0,2949951488.0,3627118592.0,4004.0,1861.0
11-10 00:56:53,0.503,0.251,98.995,0.251,0.0,0.0,0.0,32768.0,1721565184.0,91267072.0,2949955584.0,3627134976.0,5998.0,2612.0
11-10 00:56:54,0.501,0.501,98.997,0.0,0.0,0.0,0.0,0.0,1721561088.0,91267072.0,2949959680.0,3627134976.0,4695.0,3020.0
11-10 00:56:55,0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,1721552896.0,91267072.0,2949967872.0,3627134976.0,3743.0,1966.0
11-10 00:56:56,0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,1721552896.0,91267072.0,2949967872.0,3627134976.0,4218.0,2332.0
11-10 00:56:57,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1721552896.0,91267072.0,2949967872.0,3627134976.0,2586.0,1677.0
11-10 00:56:58,0.251,0.0,99.497,0.251,0.0,0.0,0.0,32768.0,1721544704.0,91267072.0,2949967872.0,3627143168.0,3129.0,2289.0
11-10 00:56:59,0.500,0.500,99.0,0.0,0.0,0.0,0.0,0.0,1721544704.0,91267072.0,2949967872.0,3627143168.0,4218.0,1977.0
11-10 00:57:00,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1721528320.0,91267072.0,2949967872.0,3627159552.0,2586.0,1637.0
11-10 00:57:01,0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1721528320.0,91267072.0,2949967872.0,3627159552.0,3129.0,1745.0
11-10 00:57:02,0.251,0.251,99.497,0.0,0.0,0.0,0.0,32768.0,1721647104.0,91267072.0,2949967872.0,3627040768.0,5110.0,2586.0
11-10 00:57:03,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1721647104.0,91267072.0,2949967872.0,3627040768.0,2706.0,1855.0
11-10 00:57:04,0.251,0.501,98.747,0.501,0.0,0.0,0.0,81920.0,1721647104.0,91267072.0,2949967872.0,3627040768.0,3261.0,1811.0
11-10 00:57:05,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1721516032.0,91267072.0,2949971968.0,3627167744.0,4218.0,1977.0
11-10 00:57:06,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1721516032.0,91267072.0,2949971968.0,3627167744.0,2640.0,1787.0
11-10 00:57:07,0.252,0.252,99.496,0.0,0.0,0.0,0.0,10420224.0,1721643008.0,91267072.0,2949971968.0,3627040768.0,3172.0,1787.0
11-10 00:57:08,0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,1721769984.0,91267072.0,2949971968.0,3626913792.0,4221.0,1977.0
11-10 00:57:09,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1721769984.0,91267072.0,2949971968.0,3626913792.0,2643.0,1787.0
11-10 00:57:10,0.251,0.251,98.997,0.501,0.0,0.0,0.0,172032.0,1721769984.0,91267072.0,2949971968.0,3626913792.0,3132.0,1745.0
11-10 00:57:11,0.752,0.251,98.997,0.0,0.0,0.0,0.0,0.0,1721769984.0,91267072.0,2949971968.0,3626913792.0,4221.0,1977.0
