"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_1_1.csv 1 200",,,,"Date:","11 Oct 2019 00:05:55 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 00:05:55,0.281,0.239,99.359,0.117,0.000,0.004,3904.591,70830.127,1563922432.0,91246592.0,2941841408.0,3792912384.0,0.0,0.0
11-10 00:05:56,8.521,2.506,88.972,0.0,0.0,0.0,0.0,114688.0,1594462208.0,91246592.0,2947088384.0,3757125632.0,3201.0,1764.0
11-10 00:05:57,42.500,3.250,54.250,0.0,0.0,0.0,0.0,8192.0,1685721088.0,91246592.0,2947031040.0,3665924096.0,2066.0,1170.0
11-10 00:05:58,29.899,2.261,67.839,0.0,0.0,0.0,0.0,172032.0,1723494400.0,91246592.0,2947031040.0,3628150784.0,17901.0,615686.0
11-10 00:05:59,1.504,0.251,97.995,0.0,0.0,0.251,0.0,0.0,1724227584.0,91246592.0,2947043328.0,3627405312.0,7472.0,12947.0
11-10 00:06:00,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1724379136.0,91246592.0,2947051520.0,3627245568.0,1996.0,917.0
11-10 00:06:01,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1724362752.0,91246592.0,2947051520.0,3627261952.0,4658.0,4046.0
11-10 00:06:02,0.501,0.251,98.747,0.501,0.0,0.0,0.0,434176.0,1724362752.0,91246592.0,2947051520.0,3627261952.0,5653.0,2443.0
11-10 00:06:03,0.754,0.251,98.995,0.0,0.0,0.0,0.0,8192.0,1724252160.0,91246592.0,2947051520.0,3627372544.0,5597.0,2932.0
11-10 00:06:04,1.003,0.251,98.747,0.0,0.0,0.0,0.0,0.0,1724252160.0,91246592.0,2947051520.0,3627372544.0,5879.0,7042.0
11-10 00:06:05,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1724354560.0,91246592.0,2947059712.0,3627261952.0,4529.0,3397.0
11-10 00:06:06,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1724354560.0,91246592.0,2947059712.0,3627261952.0,3205.0,1742.0
11-10 00:06:07,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1724354560.0,91246592.0,2947059712.0,3627261952.0,4030.0,7849.0
11-10 00:06:08,0.503,0.0,98.995,0.503,0.0,0.0,0.0,40960.0,1724338176.0,91246592.0,2947059712.0,3627278336.0,7030.0,14387.0
11-10 00:06:09,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1724321792.0,91246592.0,2947059712.0,3627294720.0,3403.0,1959.0
11-10 00:06:10,0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,1724305408.0,91246592.0,2947059712.0,3627311104.0,2661.0,1637.0
11-10 00:06:11,0.752,0.501,98.747,0.0,0.0,0.0,0.0,0.0,1724305408.0,91246592.0,2947059712.0,3627311104.0,4292.0,1961.0
11-10 00:06:12,0.504,0.0,99.496,0.0,0.0,0.0,0.0,417792.0,1724305408.0,91246592.0,2947059712.0,3627311104.0,4428.0,2789.0
11-10 00:06:13,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1724301312.0,91246592.0,2947063808.0,3627311104.0,3089.0,1653.0
11-10 00:06:14,0.501,0.251,98.496,0.752,0.0,0.0,0.0,40960.0,1724411904.0,91246592.0,2947063808.0,3627200512.0,8959.0,3974.0
11-10 00:06:15,0.748,0.249,99.002,0.0,0.0,0.0,0.0,0.0,1724403712.0,91246592.0,2947072000.0,3627200512.0,3852.0,1843.0
