"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_8_2.csv 1 200",,,,"Date:","11 Oct 2019 02:02:43 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 02:02:43,0.287,0.239,99.353,0.117,0.000,0.004,3825.726,70361.164,1567170560.0,91279360.0,2950041600.0,3781431296.0,0.0,0.0
11-10 02:02:44,1.005,1.508,97.487,0.0,0.0,0.0,0.0,0.0,1575612416.0,91279360.0,2950045696.0,3772985344.0,3201.0,1764.0
11-10 02:02:45,42.500,4.500,53.0,0.0,0.0,0.0,0.0,0.0,1669595136.0,91279360.0,2955059200.0,3673989120.0,2066.0,1291.0
11-10 02:02:46,26.382,2.513,71.106,0.0,0.0,0.0,0.0,155648.0,1729052672.0,91279360.0,2955231232.0,3614359552.0,14451.0,512856.0
11-10 02:02:47,10.804,0.754,88.442,0.0,0.0,0.0,0.0,16384.0,1732919296.0,91279360.0,2955243520.0,3610480640.0,10934.0,114875.0
11-10 02:02:48,0.251,0.251,98.997,0.501,0.0,0.0,0.0,368640.0,1733197824.0,91279360.0,2955251712.0,3610193920.0,1996.0,934.0
11-10 02:02:49,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1733070848.0,91279360.0,2955251712.0,3610320896.0,4592.0,4062.0
11-10 02:02:50,0.501,0.251,99.248,0.0,0.0,0.0,0.0,24576.0,1733070848.0,91279360.0,2955251712.0,3610320896.0,5354.0,2282.0
11-10 02:02:51,0.754,0.251,98.995,0.0,0.0,0.0,0.0,16384.0,1733070848.0,91279360.0,2955251712.0,3610320896.0,5963.0,3093.0
11-10 02:02:52,1.003,0.251,98.747,0.0,0.0,0.0,0.0,393216.0,1733083136.0,91279360.0,2955255808.0,3610304512.0,4052.0,3784.0
11-10 02:02:53,0.251,0.501,98.747,0.501,0.0,0.0,0.0,32768.0,1733070848.0,91279360.0,2955259904.0,3610312704.0,7207.0,7146.0
11-10 02:02:54,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,1733070848.0,91279360.0,2955259904.0,3610312704.0,3205.0,1758.0
11-10 02:02:55,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1733197824.0,91279360.0,2955259904.0,3610185728.0,2661.0,1636.0
11-10 02:02:56,0.0,0.251,99.749,0.0,0.0,0.0,0.0,0.0,1733197824.0,91279360.0,2955259904.0,3610185728.0,4292.0,2063.0
11-10 02:02:57,0.750,0.250,99.0,0.0,0.0,0.0,0.0,8192.0,1733197824.0,91279360.0,2955259904.0,3610185728.0,4503.0,4521.0
11-10 02:02:58,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,1733165056.0,91279360.0,2955259904.0,3610218496.0,5668.0,17714.0
11-10 02:02:59,0.503,0.0,98.995,0.503,0.0,0.0,0.0,57344.0,1733165056.0,91279360.0,2955259904.0,3610218496.0,4292.0,1961.0
11-10 02:03:00,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1733165056.0,91279360.0,2955259904.0,3610218496.0,3205.0,1761.0
11-10 02:03:01,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1733148672.0,91279360.0,2955259904.0,3610234880.0,2661.0,1637.0
11-10 02:03:02,0.501,0.0,99.499,0.0,0.0,0.0,0.0,57344.0,1733132288.0,91279360.0,2955259904.0,3610251264.0,4424.0,2070.0
11-10 02:03:03,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1733132288.0,91279360.0,2955259904.0,3610251264.0,3469.0,1850.0
11-10 02:03:04,0.756,0.252,98.992,0.0,0.0,0.0,0.0,0.0,1734365184.0,91279360.0,2955259904.0,3609018368.0,3046.0,2088.0
11-10 02:03:05,0.501,0.501,98.496,0.501,0.0,0.0,0.0,98304.0,1734332416.0,91279360.0,2955259904.0,3609051136.0,4346.0,2153.0
11-10 02:03:06,0.752,0.501,98.496,0.0,0.0,0.251,0.0,24576.0,1733316608.0,91279360.0,2955259904.0,3610066944.0,7129.0,3976.0
11-10 02:03:07,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1733152768.0,91279360.0,2955264000.0,3610226688.0,2960.0,2507.0
11-10 02:03:08,0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,1733406720.0,91279360.0,2955264000.0,3609972736.0,5972.0,2885.0
11-10 02:03:09,0.252,0.252,99.496,0.0,0.0,0.0,0.0,0.0,1733275648.0,91279360.0,2955268096.0,3610099712.0,3190.0,1807.0
11-10 02:03:10,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1733275648.0,91279360.0,2955268096.0,3610099712.0,2628.0,1699.0
11-10 02:03:11,0.501,0.251,98.246,1.003,0.0,0.0,0.0,65536.0,1733275648.0,91279360.0,2955268096.0,3610099712.0,4217.0,2063.0
11-10 02:03:12,0.252,0.0,99.748,0.0,0.0,0.0,0.0,8192.0,1733140480.0,91279360.0,2955268096.0,3610234880.0,3130.0,1761.0
11-10 02:03:13,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1733132288.0,91279360.0,2955268096.0,3610243072.0,2586.0,1653.0
11-10 02:03:14,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1733128192.0,91279360.0,2955272192.0,3610243072.0,4217.0,1961.0
