"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_8_1.csv 1 200",,,,"Date:","11 Oct 2019 01:55:13 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 01:55:13,0.287,0.239,99.354,0.117,0.000,0.004,3830.688,70386.836,1567244288.0,91279360.0,2949570560.0,3781828608.0,0.0,0.0
11-10 01:55:14,0.500,1.250,98.250,0.0,0.0,0.0,0.0,0.0,1568456704.0,91279360.0,2949574656.0,3780612096.0,3256.0,1764.0
11-10 01:55:15,41.103,4.511,54.386,0.0,0.0,0.0,0.0,0.0,1658466304.0,91279360.0,2954760192.0,3685416960.0,1522.0,1046.0
11-10 01:55:16,28.070,2.757,69.173,0.0,0.0,0.0,0.0,106496.0,1726791680.0,91279360.0,2954760192.0,3617091584.0,13137.0,511654.0
11-10 01:55:17,13.250,1.0,85.500,0.0,0.0,0.250,0.0,188416.0,1731354624.0,91279360.0,2954768384.0,3612520448.0,12724.0,116703.0
11-10 01:55:18,0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1731506176.0,91279360.0,2954776576.0,3612360704.0,1494.0,934.0
11-10 01:55:19,0.503,0.251,98.995,0.251,0.0,0.0,0.0,368640.0,1731506176.0,91279360.0,2954776576.0,3612360704.0,4331.0,2274.0
11-10 01:55:20,0.750,0.250,99.0,0.0,0.0,0.0,0.0,16384.0,1730109440.0,91279360.0,2954776576.0,3613757440.0,6363.0,4385.0
11-10 01:55:21,0.505,0.0,99.495,0.0,0.0,0.0,0.0,24576.0,1730121728.0,91279360.0,2954780672.0,3613741056.0,5800.0,3085.0
11-10 01:55:22,0.750,0.500,98.750,0.0,0.0,0.0,0.0,24576.0,1729990656.0,91279360.0,2954784768.0,3613868032.0,3523.0,2293.0
11-10 01:55:23,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1729978368.0,91279360.0,2954788864.0,3613876224.0,7931.0,8616.0
11-10 01:55:24,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1729970176.0,91279360.0,2954788864.0,3613884416.0,2661.0,1634.0
11-10 01:55:25,0.750,0.250,98.750,0.250,0.0,0.0,0.0,32768.0,1730097152.0,91279360.0,2954788864.0,3613757440.0,3204.0,1744.0
11-10 01:55:26,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,1730048000.0,91279360.0,2954788864.0,3613806592.0,4293.0,1977.0
11-10 01:55:27,0.251,0.251,99.497,0.0,0.0,0.0,0.0,8192.0,1730080768.0,91279360.0,2954788864.0,3613773824.0,2859.0,1835.0
11-10 01:55:28,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1729937408.0,91279360.0,2954788864.0,3613917184.0,6773.0,9646.0
11-10 01:55:29,0.251,0.503,99.246,0.0,0.0,0.0,0.0,0.0,1729937408.0,91279360.0,2954788864.0,3613917184.0,4831.0,12715.0
