"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_2_2.csv 1 200",,,,"Date:","11 Oct 2019 00:35:30 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 00:35:30,0.283,0.239,99.358,0.117,0.000,0.004,3884.313,70664.062,1564798976.0,91262976.0,2943315968.0,3790544896.0,0.0,0.0
11-10 00:35:31,0.250,0.250,99.500,0.0,0.0,0.0,0.0,0.0,1564950528.0,91262976.0,2943324160.0,3790385152.0,1468.0,1338.0
11-10 00:35:32,38.442,4.020,57.538,0.0,0.0,0.0,0.0,122880.0,1657655296.0,91262976.0,2948509696.0,3692494848.0,3309.0,1616.0
11-10 00:35:33,28.0,2.500,67.0,2.500,0.0,0.0,0.0,466944.0,1724604416.0,91262976.0,2948509696.0,3625545728.0,9127.0,509327.0
11-10 00:35:34,13.602,0.756,82.620,3.023,0.0,0.0,0.0,114688.0,1729335296.0,91262976.0,2948517888.0,3620806656.0,14116.0,117855.0
11-10 00:35:35,0.752,0.501,98.747,0.0,0.0,0.0,0.0,0.0,1729609728.0,91262976.0,2948530176.0,3620519936.0,3706.0,1633.0
11-10 00:35:36,0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,1729716224.0,91262976.0,2948534272.0,3620409344.0,4332.0,2273.0
11-10 00:35:37,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1728065536.0,91262976.0,2948534272.0,3622060032.0,2322.0,2640.0
11-10 00:35:38,0.754,0.0,99.246,0.0,0.0,0.0,0.0,40960.0,1728319488.0,91262976.0,2948534272.0,3621806080.0,8771.0,4318.0
11-10 00:35:39,0.500,0.500,98.500,0.250,0.0,0.250,0.0,57344.0,1728327680.0,91262976.0,2948542464.0,3621789696.0,3761.0,2293.0
11-10 00:35:40,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,1728327680.0,91262976.0,2948542464.0,3621789696.0,6411.0,8417.0
11-10 00:35:41,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1728311296.0,91262976.0,2948542464.0,3621806080.0,4529.0,1958.0
11-10 00:35:42,0.0,0.252,99.748,0.0,0.0,0.0,0.0,16384.0,1728311296.0,91262976.0,2948542464.0,3621806080.0,3205.0,1744.0
11-10 00:35:43,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1728311296.0,91262976.0,2948542464.0,3621806080.0,2661.0,1653.0
