"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_7_1.csv 1 200",,,,"Date:","11 Oct 2019 01:37:40 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 01:37:40,0.286,0.239,99.354,0.117,0.000,0.004,3842.372,70462.884,1566748672.0,91275264.0,2947547136.0,3784351744.0,0.0,0.0
11-10 01:37:41,0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1566617600.0,91275264.0,2947551232.0,3784478720.0,3045.0,1662.0
11-10 01:37:42,34.422,3.518,62.060,0.0,0.0,0.0,0.0,106496.0,1652572160.0,91275264.0,2952564736.0,3693510656.0,2222.0,1400.0
11-10 01:37:43,33.500,2.750,63.500,0.250,0.0,0.0,0.0,57344.0,1726676992.0,91275264.0,2952736768.0,3619233792.0,7936.0,505405.0
11-10 01:37:44,15.288,1.003,83.709,0.0,0.0,0.0,0.0,114688.0,1731747840.0,91275264.0,2952744960.0,3614154752.0,15733.0,118179.0
11-10 01:37:45,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1731883008.0,91275264.0,2952753152.0,3614011392.0,1930.0,934.0
11-10 01:37:46,0.503,0.251,98.744,0.503,0.0,0.0,0.0,368640.0,1732009984.0,91275264.0,2952753152.0,3613884416.0,3514.0,2123.0
11-10 01:37:47,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1730994176.0,91275264.0,2952753152.0,3614900224.0,3953.0,2978.0
11-10 01:37:48,0.752,0.501,98.747,0.0,0.0,0.0,0.0,40960.0,1730994176.0,91275264.0,2952753152.0,3614900224.0,7690.0,4103.0
11-10 01:37:49,0.754,0.251,98.995,0.0,0.0,0.0,0.0,0.0,1731006464.0,91275264.0,2952757248.0,3614883840.0,3217.0,2185.0
11-10 01:37:50,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1730998272.0,91275264.0,2952765440.0,3614883840.0,5363.0,3611.0
11-10 01:37:51,0.500,0.500,99.0,0.0,0.0,0.0,0.0,0.0,1730998272.0,91275264.0,2952765440.0,3614883840.0,3441.0,1742.0
11-10 01:37:52,0.252,0.0,99.496,0.252,0.0,0.0,0.0,40960.0,1730228224.0,91275264.0,2952765440.0,3615653888.0,2660.0,1636.0
11-10 01:37:53,0.252,0.252,99.496,0.0,0.0,0.0,0.0,0.0,1730220032.0,91275264.0,2952765440.0,3615662080.0,4291.0,1977.0
11-10 01:37:54,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1730220032.0,91275264.0,2952765440.0,3615662080.0,4771.0,8199.0
