"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_4_1.csv 1 200",,,,"Date:","11 Oct 2019 00:48:56 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 00:48:56,0.283,0.239,99.357,0.117,0.000,0.004,3875.169,70622.577,1564192768.0,91267072.0,2944266240.0,3790196736.0,0.0,0.0
11-10 00:48:57,13.033,2.506,84.461,0.0,0.0,0.0,0.0,0.0,1611849728.0,91267072.0,2949455872.0,3737350144.0,2168.0,1548.0
11-10 00:48:58,41.960,3.769,54.271,0.0,0.0,0.0,0.0,0.0,1706782720.0,91267072.0,2949455872.0,3642417152.0,1522.0,1388.0
11-10 00:48:59,27.638,2.010,70.352,0.0,0.0,0.0,0.0,172032.0,1728397312.0,91267072.0,2949480448.0,3620777984.0,17986.0,612417.0
11-10 00:49:00,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1728397312.0,91267072.0,2949480448.0,3620777984.0,4955.0,10941.0
11-10 00:49:01,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1728397312.0,91267072.0,2949480448.0,3620777984.0,3036.0,1882.0
11-10 00:49:02,0.251,0.251,98.997,0.501,0.0,0.0,0.0,385024.0,1727889408.0,91267072.0,2949480448.0,3621285888.0,5328.0,3730.0
11-10 00:49:03,0.754,0.251,98.995,0.0,0.0,0.0,0.0,40960.0,1727778816.0,91267072.0,2949480448.0,3621396480.0,7688.0,3974.0
11-10 00:49:04,0.251,0.501,99.248,0.0,0.0,0.0,0.0,0.0,1727778816.0,91267072.0,2949480448.0,3621396480.0,1931.0,1188.0
11-10 00:49:05,0.754,0.251,98.995,0.0,0.0,0.0,0.0,0.0,1728024576.0,91267072.0,2949488640.0,3621142528.0,10264.0,13798.0
11-10 00:49:06,0.499,0.249,99.252,0.0,0.0,0.0,0.0,0.0,1728024576.0,91267072.0,2949488640.0,3621142528.0,3443.0,1742.0
11-10 00:49:07,0.251,0.251,98.747,0.752,0.0,0.0,0.0,106496.0,1728016384.0,91267072.0,2949488640.0,3621150720.0,3762.0,4226.0
11-10 00:49:08,0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,1728016384.0,91267072.0,2949488640.0,3621150720.0,5428.0,8066.0
11-10 00:49:09,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,1728008192.0,91267072.0,2949488640.0,3621158912.0,5144.0,11877.0
11-10 00:49:10,0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,1728008192.0,91267072.0,2949488640.0,3621158912.0,2794.0,1660.0
11-10 00:49:11,0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,1727991808.0,91267072.0,2949488640.0,3621175296.0,4293.0,1961.0
11-10 00:49:12,0.500,0.250,99.0,0.250,0.0,0.0,0.0,73728.0,1727991808.0,91267072.0,2949488640.0,3621175296.0,4807.0,2898.0
11-10 00:49:13,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1727971328.0,91267072.0,2949492736.0,3621191680.0,3072.0,1653.0
11-10 00:49:14,0.251,0.251,99.248,0.0,0.0,0.251,0.0,0.0,1727967232.0,91267072.0,2949496832.0,3621191680.0,7864.0,3347.0
11-10 00:49:15,0.499,0.499,99.002,0.0,0.0,0.0,0.0,0.0,1727959040.0,91267072.0,2949505024.0,3621191680.0,4681.0,2756.0
11-10 00:49:16,0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,1727959040.0,91267072.0,2949505024.0,3621191680.0,2811.0,1858.0
